CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
E,E,C,B,B,B,D,C,A,B,A,A,C,D,C,C,D,E,E,B,A,A,A,A,D,D,A,A,A,A,A,A,B,C,5,5,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,6,6
D,D,C,B,D,B,E,D,C,A,A,A,D,D,B,D,E,C,E,F,A,B,A,E,A,A,B,G,B,B,C,A,E,C,6,5,4,4,5,6,6,6,6,5,5,4,5,5,5,4,6,6,4,5,5,5,5,7,7,8,5,5,5,5,5,5,5,4,3,5,4,6,3,5,3,4
C,D,C,B,B,C,D,D,C,A,A,A,F,E,D,A,C,C,B,H,A,A,A,A,A,A,B,C,A,B,B,A,H,E,4,4,4,4,4,4,3,4,4,4,4,4,4,1,2,5,4,4,4,6,4,3,4,8,8,4,4,3,5,3,4,6,5,4,4,5,5,4,4,4,3,4
C,E,A,D,C,C,E,E,C,A,A,A,D,D,C,B,D,C,E,B,A,A,A,A,A,A,B,A,A,A,B,A,B,F,6,5,5,6,6,5,6,6,5,5,4,5,5,5,5,5,6,6,6,5,6,6,5,5,6,8,8,6,4,4,4,6,6,6,6,6,6,6,6,6,5,5
D,E,C,D,D,D,B,B,A,E,A,A,F,E,C,B,D,D,E,B,A,A,A,A,B,A,A,A,A,D,E,E,E,C,2,4,1,1,1,2,2,1,5,6,3,3,1,8,5,4,5,5,4,8,4,2,2,7,4,7,7,6,5,5,5,6,6,5,4,5,5,8,4,7,4,2
D,D,D,B,B,C,E,C,B,A,A,A,D,D,D,A,C,B,A,J,A,A,A,A,D,A,A,A,A,C,C,A,A,C,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4,6,6,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6
C,D,C,C,C,B,D,D,B,A,A,A,E,E,B,D,D,C,E,D,A,E,A,E,A,A,B,C,A,A,A,A,G,H,5,5,5,5,5,5,5,6,6,6,5,5,5,4,4,5,5,6,6,6,5,4,6,7,5,4,5,5,4,6,5,6,6,5,4,6,6,6,6,5,4,5
C,C,C,B,B,C,A,C,C,A,A,A,C,D,B,C,B,A,A,C,A,B,A,A,A,B,B,H,A,B,B,A,E,H,5,5,6,6,5,5,6,6,6,5,5,6,6,6,6,5,6,6,6,6,5,5,5,7,6,6,6,6,5,6,5,6,6,6,5,6,6,6,6,8,6,6
C,E,C,C,B,C,A,D,D,A,A,A,D,D,D,A,B,D,E,C,A,A,A,A,A,A,B,C,B,B,C,A,A,C,5,4,3,3,4,5,6,6,5,5,4,4,5,7,6,5,5,4,6,8,5,4,5,7,2,3,8,6,4,4,5,6,6,2,6,6,5,5,6,3,1,5
C,D,C,B,B,C,E,D,B,A,A,A,D,E,A,A,B,C,E,B,A,B,A,A,A,A,B,A,A,B,B,A,H,E,6,6,6,6,6,6,6,5,6,6,6,6,6,6,5,5,6,6,6,6,6,5,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,8,5,5,5,6
C,D,C,B,C,B,B,D,B,A,A,A,B,C,B,C,C,C,D,D,A,A,A,E,A,A,B,C,A,C,B,A,A,F,4,4,4,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,6,5,5,5,5,5,5,6,5,5,6,5,5,5,5,5,5,5
B,D,C,A,B,B,A,D,C,A,A,A,B,D,B,D,B,C,E,C,A,A,A,A,A,A,B,C,B,C,C,E,A,H,5,5,4,5,6,5,4,5,6,6,6,5,4,6,6,6,5,5,6,5,6,4,5,5,6,4,4,6,5,6,5,6,6,6,5,5,5,4,6,5,4,3
D,D,C,B,B,D,B,C,C,A,C,A,D,D,B,B,C,A,A,C,A,B,A,A,A,A,B,A,B,C,A,A,E,E,5,6,6,6,6,4,6,6,6,6,6,5,6,8,6,5,6,6,6,8,6,5,6,7,5,5,5,6,5,4,6,6,6,6,6,6,6,6,6,6,6,5
C,D,B,A,B,C,A,D,C,A,A,A,E,D,B,F,D,C,E,B,A,A,A,A,B,A,B,C,A,C,B,C,A,F,3,4,5,6,5,6,5,3,3,4,4,5,5,3,5,5,6,6,6,4,3,4,5,7,7,6,6,6,4,5,4,6,5,4,6,6,6,5,6,5,5,6
C,C,C,B,C,D,B,D,D,A,A,A,F,D,B,B,C,E,E,D,A,A,A,A,A,A,B,A,A,C,C,A,E,F,6,6,5,5,5,6,6,6,6,6,6,5,6,5,6,6,6,6,4,5,6,6,6,7,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6
E,E,C,B,B,D,B,D,B,A,A,A,D,D,B,C,E,C,E,B,A,B,A,A,B,A,B,C,A,A,D,A,A,C,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
B,C,C,B,C,C,B,C,C,A,A,A,D,D,A,A,B,C,E,C,A,A,A,C,A,A,B,C,A,B,B,A,A,H,5,5,5,4,6,6,5,5,6,6,5,4,5,6,6,5,6,6,6,6,5,5,5,6,6,6,6,6,6,5,6,6,5,5,4,5,5,5,5,6,6,6
C,D,B,B,B,B,B,D,B,A,A,A,E,D,B,C,D,B,A,B,A,A,A,A,B,A,B,C,A,B,C,A,E,F,6,6,6,4,6,5,6,6,5,6,5,5,6,3,6,6,5,5,5,4,5,6,6,7,6,3,3,6,5,5,6,6,6,6,5,6,6,6,6,6,4,5
C,D,C,B,B,A,B,D,C,A,A,A,C,D,B,C,C,F,E,F,A,A,A,A,A,A,B,C,B,B,E,A,E,H,5,6,5,4,5,6,6,6,5,5,5,5,3,5,5,4,6,6,8,8,6,5,5,8,6,8,5,6,4,6,5,6,5,8,4,4,5,5,6,8,6,5
C,D,D,E,D,B,B,D,B,A,A,A,D,E,A,A,F,C,E,E,F,B,A,A,A,A,B,C,A,D,B,A,E,F,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,8,6,6,8,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6
D,D,C,B,A,C,D,D,B,A,C,A,C,B,B,B,A,A,B,C,A,A,A,A,A,A,B,C,B,C,C,A,E,F,5,4,5,5,5,5,6,5,6,5,5,5,4,5,5,6,6,6,6,5,5,4,5,8,6,5,6,5,5,5,5,6,6,5,4,4,4,5,5,5,5,6
A,D,C,A,B,B,E,D,C,E,A,A,B,D,D,B,C,E,E,C,A,A,A,E,A,A,B,C,B,B,B,C,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
B,C,C,B,B,B,B,D,D,A,A,A,D,D,B,D,C,C,E,C,E,A,A,E,A,A,B,A,B,A,B,A,C,H,5,5,6,5,6,5,5,5,5,5,4,5,5,4,5,5,6,6,6,6,4,4,5,8,8,5,5,5,6,5,5,6,6,5,5,6,6,5,6,6,6,5
B,C,C,B,B,C,A,C,B,B,A,A,C,C,C,B,C,C,C,B,A,A,A,A,B,A,B,H,A,D,B,A,A,C,4,4,4,6,6,5,5,4,5,5,5,6,2,4,6,3,3,3,4,8,4,5,3,7,7,1,5,2,5,8,4,6,5,4,4,4,3,4,3,4,2,3
C,C,C,B,B,C,B,B,B,A,A,A,D,D,B,D,A,C,E,F,A,A,A,C,A,A,B,E,A,A,B,E,A,H,4,4,5,6,5,6,6,5,6,6,3,5,5,5,6,5,6,6,6,3,5,3,5,7,8,2,2,2,4,5,5,6,6,4,3,6,4,8,6,4,4,6
B,D,B,A,B,C,A,C,D,A,A,A,B,C,C,C,B,C,E,D,A,A,A,D,A,A,F,G,B,B,A,C,H,H,5,5,3,3,5,5,4,4,3,4,4,5,4,4,5,3,6,6,5,3,4,4,6,7,7,3,5,6,5,5,6,6,6,4,5,6,6,5,6,3,6,5
.,.,.,.,.,.,.,.,.,A,A,A,F,D,B,D,C,C,A,D,A,A,A,E,A,A,B,A,A,D,C,C,A,C,5,6,4,5,4,6,6,6,5,5,3,3,1,3,6,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,5,6,6,6,6,4,5,4,6,6
C,D,C,B,B,B,E,D,C,A,A,A,D,D,B,D,E,D,E,I,A,A,A,A,A,A,F,G,B,B,B,A,C,F,6,6,6,6,6,6,6,6,5,6,6,6,5,5,6,6,6,6,5,4,6,5,6,5,6,5,5,5,5,6,5,6,5,5,6,5,5,6,6,6,5,5
D,D,C,B,B,C,D,C,B,A,A,A,E,D,B,D,C,A,A,E,A,A,A,A,A,A,A,A,A,B,C,A,H,F,3,3,3,4,4,4,4,4,4,4,4,4,3,4,4,5,4,4,3,3,5,2,5,2,4,3,4,5,4,5,5,5,5,4,5,5,5,4,4,4,4,4
B,C,C,B,B,B,E,D,B,A,A,A,D,D,A,A,D,B,C,B,A,C,A,A,A,A,A,A,A,C,E,A,C,F,5,5,5,5,5,5,5,5,5,6,6,4,5,5,6,5,6,6,4,4,5,5,6,5,5,3,5,5,5,5,6,6,6,6,5,6,6,6,6,5,4,6
B,C,C,A,B,A,B,C,B,A,A,A,C,D,B,D,C,C,E,E,A,A,A,A,A,A,A,E,A,D,B,E,H,C,4,5,3,4,4,6,5,4,3,5,5,4,3,6,4,5,4,4,4,4,5,5,4,3,6,4,3,6,5,4,6,6,5,4,4,4,5,5,5,5,4,6
C,D,C,B,C,D,B,E,B,A,A,A,B,B,A,D,B,C,D,D,A,A,A,A,A,A,B,C,A,B,C,A,A,F,4,4,4,5,5,4,4,4,5,4,3,4,4,4,4,4,5,6,5,3,4,3,4,5,5,6,6,6,3,3,4,5,4,4,4,4,5,5,5,5,4,5
C,C,C,B,B,C,B,D,C,A,A,A,C,D,A,A,C,B,A,B,A,A,A,A,A,A,B,C,B,C,C,A,E,F,6,6,6,6,6,6,6,6,6,6,4,6,6,5,6,5,6,6,6,5,6,4,5,5,7,6,6,4,4,5,4,6,6,6,4,5,5,6,6,6,4,5
B,D,B,B,B,B,B,C,B,A,A,A,D,F,A,A,E,C,E,E,A,A,A,A,A,A,B,H,A,B,C,E,A,F,6,5,5,5,6,6,6,5,6,6,6,6,5,5,6,6,6,6,5,4,5,3,5,6,6,5,6,6,6,5,5,6,6,5,6,6,6,6,6,6,5,4
B,C,C,A,B,B,B,D,B,A,C,A,D,D,B,C,C,D,E,H,A,A,A,A,D,A,B,A,B,A,B,A,E,F,6,6,5,6,5,6,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,8,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6
C,C,D,B,C,C,E,D,C,A,A,A,E,D,B,B,G,C,A,B,A,F,A,A,B,A,C,A,A,C,B,C,E,F,6,6,6,6,6,6,6,6,6,6,5,6,5,6,5,6,6,5,5,4,6,5,5,5,4,6,6,6,5,6,5,5,5,4,6,6,6,6,6,6,6,5
C,D,C,A,A,B,D,C,B,B,A,A,D,E,C,B,E,C,E,J,A,A,A,A,A,A,B,B,A,A,B,A,E,G,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,4,3,2,2,2,1,1,1,1,1
B,D,B,B,A,C,D,D,B,A,A,A,D,E,B,D,F,C,C,B,A,A,A,A,B,A,B,G,A,B,A,A,A,F,4,4,1,2,5,3,4,3,2,4,3,3,8,4,8,3,8,4,4,8,5,4,5,8,8,4,2,4,3,3,4,6,6,4,5,4,5,8,8,8,4,3
C,C,C,B,B,B,B,D,B,A,A,A,C,E,B,B,F,B,A,B,A,B,A,A,A,A,B,C,A,C,C,E,E,F,5,4,5,4,3,5,6,4,5,6,3,3,5,3,5,5,4,4,5,7,4,3,5,5,6,6,5,6,2,5,4,5,6,6,4,5,5,4,6,4,4,6
C,D,B,A,B,E,B,E,C,A,A,A,E,E,D,B,E,E,E,B,A,A,A,A,B,A,B,B,A,C,C,A,E,F,5,6,4,5,5,6,5,3,3,4,4,5,5,5,6,4,8,2,3,3,5,5,6,4,5,8,8,6,5,6,5,6,6,6,6,5,6,5,8,5,8,6
C,D,C,B,B,C,E,C,D,A,A,A,D,E,A,A,F,C,B,B,A,F,A,A,A,A,B,C,A,B,B,A,C,F,5,5,5,4,5,5,5,5,5,5,4,4,5,5,4,6,5,6,5,5,5,5,5,5,5,4,5,4,5,4,5,5,4,5,6,5,6,5,5,5,5,6
C,D,C,B,B,C,E,D,D,A,A,A,D,D,B,C,D,B,A,I,A,A,A,A,B,A,B,G,B,C,E,A,E,F,5,5,5,6,5,6,6,5,6,6,5,5,6,6,6,6,6,6,6,8,6,6,6,7,6,8,6,6,6,6,5,6,6,6,5,5,5,6,6,6,6,6
A,C,A,C,C,B,D,E,C,A,A,A,D,E,A,B,F,C,E,B,A,A,A,A,B,A,B,A,A,E,D,E,E,F,6,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
B,C,C,A,B,B,E,D,C,A,C,A,B,D,B,C,C,C,A,C,A,D,A,E,A,A,B,C,B,C,B,C,H,F,6,5,5,5,6,5,6,6,5,5,5,5,4,8,6,5,6,6,6,7,5,4,6,7,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,5,8,6
C,C,C,B,B,C,D,D,B,A,A,A,F,F,B,D,F,D,E,B,A,F,B,A,B,A,B,C,A,E,B,A,H,G,4,5,3,3,8,4,5,5,3,5,5,4,6,4,4,3,5,4,4,8,4,4,5,6,2,4,4,5,3,5,5,3,5,5,3,5,5,6,6,3,4,6
C,C,C,B,B,C,D,E,B,A,A,A,D,D,A,A,D,C,E,I,A,A,A,A,B,A,B,G,A,C,B,E,E,F,5,4,5,2,4,3,2,3,3,4,3,3,8,3,4,3,4,8,2,8,3,3,2,7,2,6,5,6,5,5,4,5,6,5,5,5,5,6,6,8,8,5
B,C,C,B,B,C,D,D,B,A,A,A,C,D,A,A,B,C,E,B,A,A,A,A,B,A,B,G,A,C,A,A,E,F,5,5,4,5,6,6,5,6,6,6,2,3,2,4,6,6,5,6,6,2,2,2,4,5,5,6,6,6,5,4,6,6,6,6,6,6,6,6,6,6,5,6
B,C,B,A,C,D,D,B,B,A,A,A,D,D,B,E,D,D,E,B,A,A,A,A,A,A,B,J,A,C,A,A,E,F,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C,D,C,D,A,C,C,E,B,A,A,A,B,E,B,E,E,E,E,B,A,A,A,A,B,A,B,C,A,B,B,A,E,I,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,8,6,6,6,7,6,6,6,6,6,6,6,6,6,5,6,6,6,6,8,6,6,6
B,C,C,B,B,D,B,D,B,A,A,A,E,E,B,D,F,C,C,B,A,A,A,A,B,A,A,A,A,B,A,A,H,F,4,5,4,4,5,5,5,5,4,4,4,5,8,4,4,3,4,4,8,8,4,5,5,4,8,8,5,5,4,4,5,4,5,4,4,5,5,5,8,4,4,5
C,C,C,B,B,B,E,D,B,A,A,A,E,F,B,C,F,B,A,B,A,A,A,A,B,A,B,C,A,B,C,A,E,C,4,6,5,6,5,6,4,4,4,6,4,4,6,5,6,4,6,6,6,8,5,6,5,6,6,8,5,6,5,6,5,6,6,6,4,6,5,6,6,4,6,6
B,C,A,B,C,C,A,E,D,A,A,A,F,F,B,B,C,B,A,B,A,A,A,A,A,A,B,B,A,A,A,A,E,F,6,6,4,4,4,4,5,5,4,5,5,3,8,8,8,3,4,6,6,8,5,5,6,5,6,8,8,6,4,5,5,6,6,6,6,6,6,6,8,5,5,6
C,B,C,A,B,B,E,D,D,A,A,A,D,E,B,C,E,B,A,B,A,B,B,A,B,B,B,G,A,C,E,A,C,F,3,4,5,4,4,6,6,5,6,6,6,3,5,1,2,6,5,5,8,1,3,3,4,3,2,5,6,6,5,6,5,6,5,6,5,6,6,6,6,2,1,3
B,B,C,A,A,B,E,D,C,A,A,A,D,F,A,A,F,D,E,B,A,A,A,A,B,B,B,C,A,C,C,A,A,F,6,5,5,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,B,C,A,B,D,D,C,A,A,A,D,D,B,F,E,C,E,B,A,A,A,A,B,A,B,G,A,B,E,A,A,F,5,5,6,6,6,5,5,5,6,6,6,5,4,4,6,6,6,6,6,6,5,3,4,6,5,8,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6
.,.,.,.,.,.,.,.,.,A,A,A,E,F,B,D,F,C,D,H,C,F,A,A,B,A,B,C,A,D,C,E,E,F,3,4,2,2,5,5,6,5,4,5,3,2,2,4,5,6,4,5,2,1,4,5,3,6,1,6,6,6,6,4,4,5,5,5,6,5,5,5,5,6,6,6
C,D,C,B,A,B,B,D,C,A,A,A,F,F,B,C,F,C,C,B,A,B,B,A,B,A,B,A,A,B,C,A,B,E,6,6,5,5,6,6,5,6,6,6,6,5,5,6,6,6,6,5,5,4,6,6,6,4,6,6,6,6,6,6,6,6,5,5,6,6,6,6,6,6,5,6
B,C,C,B,A,B,E,E,C,A,A,A,E,F,B,D,E,C,C,B,A,B,A,A,B,A,B,H,A,C,E,A,E,F,6,6,6,5,5,6,6,5,6,6,6,4,4,5,6,6,6,5,5,8,6,5,6,7,6,8,6,6,5,6,6,6,6,6,5,5,5,6,5,8,4,6
C,D,C,B,B,A,B,C,C,A,A,A,E,E,B,D,F,D,E,B,A,A,A,A,B,A,B,A,A,D,B,E,E,E,2,2,2,3,3,2,3,3,3,3,1,3,4,4,4,5,5,5,5,5,4,2,2,4,1,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6
B,D,C,B,B,B,D,D,B,A,A,A,E,D,B,D,G,C,D,B,A,A,A,A,B,A,B,C,A,C,E,C,H,F,4,5,6,3,5,5,5,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
C,C,B,A,A,B,D,C,D,A,A,A,E,E,B,F,C,C,E,B,A,B,A,A,B,A,B,C,A,B,D,E,C,F,4,1,3,2,4,6,6,4,6,3,5,3,5,3,4,5,5,4,3,4,1,1,1,4,2,4,6,6,3,4,2,4,3,3,5,5,5,4,1,3,4,4
C,D,C,B,B,B,B,B,C,A,A,A,D,E,A,A,F,C,E,B,A,A,A,A,B,A,B,A,A,B,C,A,A,F,5,5,5,4,6,5,6,7,5,5,3,5,6,5,5,6,5,5,4,8,5,5,4,7,5,6,5,6,8,5,5,6,6,5,6,5,6,6,8,8,8,5
B,D,C,A,B,C,A,C,B,A,A,A,E,E,B,C,F,C,E,B,A,A,A,A,A,A,B,G,A,B,C,A,B,G,5,4,6,4,5,4,5,4,4,5,4,4,4,4,4,6,4,4,4,3,6,6,5,5,5,5,4,5,5,5,5,6,6,5,5,6,6,6,4,5,1,4
C,C,B,B,A,B,E,D,D,A,D,A,E,E,B,C,F,C,A,B,A,D,A,A,B,A,B,C,A,E,E,A,E,G,5,5,5,4,5,6,6,6,5,5,4,5,5,8,6,6,6,8,6,8,4,5,5,7,6,6,6,6,5,6,5,6,6,6,6,6,6,6,6,6,6,6
C,D,A,D,B,D,A,C,B,A,A,A,E,E,A,B,E,E,E,J,A,A,A,A,A,A,B,G,A,A,B,E,C,F,4,4,2,3,5,5,5,5,4,5,1,2,3,3,4,3,5,2,5,1,5,5,5,7,3,1,1,6,3,5,3,6,6,4,2,1,2,6,6,6,4,1
D,C,C,B,B,C,A,D,D,A,A,A,F,E,B,D,G,C,C,B,A,B,A,A,B,A,B,A,A,A,A,C,E,F,6,6,5,5,6,6,6,6,5,6,6,6,4,6,6,6,6,6,6,6,6,6,6,7,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,C,B,B,C,B,D,C,A,C,A,D,F,A,A,F,D,E,E,A,E,B,A,B,A,A,H,A,A,D,E,E,H,6,6,4,3,3,3,4,4,2,4,6,4,3,4,5,4,2,3,3,7,4,4,6,7,4,5,5,6,5,5,4,5,5,5,5,5,5,6,6,4,1,5
D,C,C,C,B,B,D,C,C,A,A,A,D,E,B,B,F,C,E,B,A,A,A,A,B,A,B,A,A,A,A,E,E,F,5,5,3,4,6,5,5,5,4,5,3,4,4,8,4,4,6,6,5,8,4,5,5,6,6,8,6,6,6,6,6,6,6,5,6,6,5,6,8,6,6,6
D,D,C,A,A,C,D,E,B,A,A,A,B,D,D,A,A,C,E,C,A,A,A,D,A,A,F,G,A,A,B,E,E,F,4,4,5,3,6,3,3,7,4,5,5,5,8,8,6,8,6,6,6,8,4,3,4,7,1,6,6,6,5,6,5,6,6,6,5,5,5,6,6,7,5,6
C,C,B,B,B,C,D,D,B,A,A,A,D,D,B,G,F,E,E,J,A,B,A,A,A,A,B,C,A,A,B,A,C,C,2,3,2,5,1,1,1,1,1,3,1,2,3,1,2,6,2,4,1,1,1,2,1,1,2,1,2,2,1,1,1,3,3,1,5,5,5,5,5,1,1,4
C,C,B,B,B,C,B,D,D,A,A,A,D,D,B,B,C,C,E,J,A,F,A,A,E,B,B,C,A,C,C,A,C,F,5,5,5,5,6,5,5,5,5,5,3,3,4,6,5,5,6,5,6,5,5,4,6,6,5,6,6,3,2,3,4,6,6,6,4,5,5,6,5,4,4,4
A,C,C,B,C,D,C,C,B,A,A,A,E,E,B,D,C,B,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,8,8,4,4,4,8,6,8,8,6,6,6,6,6,6,6,6,6,6,8,8,8,8,6
B,B,C,A,A,B,E,D,C,A,A,A,E,E,B,D,F,C,A,H,A,D,B,A,B,A,B,G,A,B,C,E,E,F,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
C,C,C,B,B,C,E,D,B,A,A,A,F,F,B,B,F,B,A,B,A,B,A,A,B,A,B,G,A,C,D,A,A,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
B,C,B,A,B,C,D,C,B,A,A,A,B,D,B,E,D,B,A,B,A,A,A,A,B,A,A,K,B,C,C,A,E,I,5,5,4,6,6,3,2,2,4,3,3,3,3,3,5,6,6,5,6,5,3,3,2,6,4,6,6,6,5,4,5,6,6,2,2,5,5,1,3,4,4,2
C,C,A,B,B,C,E,D,E,A,A,A,D,E,B,D,F,D,E,J,A,A,F,A,B,A,B,G,A,B,B,A,E,G,4,5,4,4,4,4,5,4,3,4,3,4,4,5,5,4,5,5,4,3,4,4,5,7,3,5,2,2,5,5,4,6,5,5,6,5,5,6,5,4,3,5
B,D,C,B,B,C,E,D,C,A,A,A,E,D,B,D,D,D,E,B,A,A,A,A,B,A,B,A,A,A,B,E,A,G,3,3,4,6,6,6,6,6,6,5,4,4,4,5,5,6,5,4,3,1,5,4,6,6,6,5,5,5,5,5,4,6,5,4,6,5,5,4,5,5,5,5
C,D,C,B,B,C,B,D,C,A,A,A,E,C,B,E,E,B,A,B,A,A,A,A,B,A,B,G,A,E,E,A,E,F,5,4,5,5,5,5,4,5,5,6,5,6,6,5,5,6,6,6,6,6,5,5,6,6,5,5,5,5,5,5,5,6,5,6,5,5,5,6,6,5,5,5
C,C,C,B,B,A,C,D,E,A,A,A,D,D,B,D,A,A,A,C,A,A,A,A,A,A,B,C,B,B,E,A,E,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,D,B,B,B,A,A,C,D,E,A,A,D,B,C,F,D,C,E,C,A,A,A,E,A,A,B,K,B,B,C,A,A,F,4,4,3,3,4,5,4,3,5,5,4,5,5,5,8,5,8,8,5,8,5,4,4,7,7,8,5,6,6,6,6,6,6,5,6,5,5,5,5,7,6,5
C,D,B,A,B,C,B,D,C,A,A,A,D,E,B,D,E,E,E,I,A,B,F,A,B,A,B,H,A,B,B,A,E,F,6,6,6,4,5,5,6,6,5,6,4,5,3,3,5,5,5,6,5,1,6,5,5,7,6,6,6,6,5,6,5,6,6,5,6,6,6,6,6,5,5,6
C,C,C,C,B,B,B,D,C,A,A,A,D,D,B,D,D,C,D,B,A,A,A,A,A,A,B,B,A,A,E,A,H,F,5,5,5,6,4,5,6,7,4,6,1,4,1,1,3,6,6,6,5,8,5,5,6,7,5,6,6,6,3,5,5,6,4,5,6,5,6,5,8,7,6,6
D,C,A,C,C,B,D,D,B,A,A,A,E,E,C,B,D,D,E,B,A,A,A,A,B,A,B,C,A,E,B,E,E,F,5,5,5,6,6,5,5,6,6,5,4,5,6,5,5,5,6,5,6,5,6,5,4,5,6,6,6,6,5,5,5,6,6,6,6,6,6,5,6,6,6,6
A,A,A,E,E,E,E,E,E,A,A,A,E,F,A,A,B,C,E,B,A,A,A,A,B,A,A,B,A,E,C,A,E,F,3,3,5,3,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
B,C,C,B,B,B,D,D,C,A,A,A,E,E,B,D,F,D,E,B,A,A,A,A,B,A,A,C,A,D,B,A,E,F,5,6,2,6,3,5,5,1,2,5,4,5,6,5,6,5,6,6,6,8,6,5,5,6,7,6,6,6,5,6,6,6,5,5,5,4,5,5,6,4,2,5
C,D,C,B,B,C,D,D,B,A,A,A,D,C,B,C,E,D,E,B,A,A,A,A,B,A,A,C,B,B,D,A,A,F,5,5,3,3,3,4,3,5,5,5,6,5,4,4,4,6,6,5,5,5,5,5,4,7,5,5,5,5,5,5,4,6,6,4,6,5,5,5,5,5,5,4
C,C,C,B,B,C,B,D,D,A,A,A,D,B,B,C,E,C,D,B,A,F,A,A,B,A,F,C,B,E,B,A,E,F,5,5,5,5,5,6,5,5,6,6,5,4,5,5,5,5,6,6,6,5,5,4,5,6,6,6,6,6,6,5,5,6,6,5,6,6,6,5,5,5,6,6
C,C,C,B,A,A,E,E,B,A,A,A,D,D,A,A,E,F,E,B,A,E,A,A,B,B,A,K,A,E,A,C,E,F,4,2,6,6,3,2,6,6,2,6,6,5,2,2,5,4,6,6,6,6,6,5,6,7,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6
