CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
C,D,C,B,A,B,C,D,D,A,B,A,F,E,A,A,F,B,D,A,A,C,B,A,B,A,B,C,A,C,E,A,H,F,4,3,1,2,4,4,4,2,3,5,3,4,6,3,6,5,6,6,5,6,2,1,3,7,6,7,7,5,3,5,5,6,3,3,3,5,5,2,7,5,6,2
B,C,B,B,B,C,B,D,C,A,A,A,F,E,B,E,G,D,E,A,A,B,A,A,B,A,B,A,A,E,C,E,A,F,5,5,6,4,3,3,6,6,5,5,4,4,4,4,3,5,5,5,2,1,2,2,2,6,2,3,2,5,2,5,6,4,2,3,2,2,2,8,8,7,7,1
B,C,C,A,B,C,A,D,.,A,B,A,B,C,B,D,E,F,E,A,A,A,A,D,A,A,A,A,B,B,C,C,E,F,5,4,4,5,5,5,5,4,5,5,4,5,5,4,4,4,4,4,5,4,4,4,4,7,4,4,4,5,4,5,5,5,4,5,4,4,4,4,4,7,8,4
C,D,A,B,B,C,B,D,D,B,A,A,E,E,C,E,F,F,D,A,A,D,A,A,A,A,B,C,A,B,E,C,E,F,3,6,3,4,5,6,6,4,5,5,4,4,4,5,6,6,6,6,6,4,5,5,6,7,7,6,6,4,3,5,6,6,5,5,3,4,5,5,6,5,6,4
C,C,C,B,A,B,A,D,C,A,A,A,E,E,B,E,G,B,B,A,A,A,A,A,B,A,B,G,A,E,D,E,E,F,5,5,6,4,4,4,4,5,4,6,5,6,4,5,3,6,4,5,5,5,6,5,4,4,5,5,5,6,4,2,5,5,3,5,2,2,2,4,5,6,5,2
.,.,.,.,.,.,.,.,.,A,A,A,F,F,A,A,F,D,E,A,A,A,A,A,B,A,B,B,A,A,E,A,A,A,6,6,6,6,6,6,6,6,2,6,6,6,2,2,4,6,6,3,1,1,6,6,2,7,1,1,1,6,2,2,4,6,6,1,5,5,5,1,1,5,5,4
C,B,C,B,B,B,E,D,C,A,C,A,D,D,B,E,C,C,C,A,A,D,A,B,A,A,A,G,A,D,B,E,A,F,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
C,C,D,C,C,D,D,D,B,A,B,A,D,E,B,E,E,C,E,A,A,B,A,A,B,A,B,C,A,A,A,E,B,F,4,4,4,2,2,2,3,3,4,4,4,4,1,3,2,6,5,5,1,2,2,2,3,5,3,1,1,2,4,4,2,5,2,4,4,2,2,4,1,2,5,4
C,C,B,B,B,C,A,D,C,A,A,A,D,C,B,G,B,C,C,A,A,B,A,A,B,A,B,G,A,B,B,C,H,F,3,5,6,6,4,6,6,3,6,6,4,5,6,4,5,6,6,6,6,6,4,4,5,7,8,6,6,6,4,6,5,6,4,6,4,4,4,6,8,6,6,6
C,C,D,B,B,C,B,A,B,A,B,A,B,F,A,A,A,B,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
