CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,IN_MATUT,IN_VESPER,IN_NOTURNO,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3
3,10002,10028,4004,SE,2,22,M,2009,2010,0,1,0,67.3,58.6,50.0,71.5,93.0,65.0,100.0,50.0,70.0,45.0,70.2,71.4,63.3,70.0,40.0,80.0
3,10002,10028,4004,SE,2,26,M,2005,2007,0,1,0,51.0,79.4,75.0,86.0,95.0,75.0,100.0,77.0,65.0,80.0,41.5,42.9,33.3,10.0,10.0,80.0
3,10002,10028,4004,SE,2,24,F,2007,2009,0,1,0,70.0,68.0,50.0,95.0,97.0,85.0,100.0,93.0,65.0,100.0,70.7,71.4,66.7,40.0,80.0,80.0
3,10002,10028,4004,SE,2,26,M,2005,2009,0,1,0,56.5,84.9,87.5,81.0,67.0,75.0,65.0,95.0,75.0,100.0,47.0,42.9,70.0,80.0,70.0,60.0
3,10002,10028,4004,SE,2,22,M,2008,2010,0,1,0,63.4,88.6,100.0,71.5,77.0,65.0,80.0,66.0,70.0,65.0,55.0,57.1,43.3,50.0,40.0,40.0
3,10002,10028,4004,SE,2,27,M,2005,2007,0,1,0,61.6,88.8,100.0,72.0,82.0,50.0,90.0,62.0,70.0,60.0,52.5,57.1,26.7,0.0,60.0,20.0
3,10002,10028,4004,SE,2,23,M,2009,2010,0,1,0,71.8,91.6,100.0,79.0,66.0,70.0,65.0,92.0,60.0,100.0,65.2,71.4,30.0,50.0,0.0,40.0
3,10002,10028,4004,SE,2,24,M,2008,2010,0,1,0,52.4,47.7,37.5,63.0,70.0,30.0,80.0,56.0,40.0,60.0,54.0,57.1,36.7,0.0,50.0,60.0
3,10002,10028,4004,SE,2,22,M,2009,2010,0,1,0,66.0,71.5,62.5,85.0,93.0,65.0,100.0,77.0,65.0,80.0,64.2,71.4,23.3,0.0,10.0,60.0
3,10002,10028,4004,SE,2,23,M,2008,2009,0,1,0,52.5,52.5,62.5,37.5,75.0,75.0,75.0,0.0,0.0,0.0,52.5,57.1,26.7,0.0,0.0,80.0
3,10002,10028,4004,SE,2,32,M,1999,2000,0,1,0,58.8,65.4,50.0,88.5,96.0,80.0,100.0,81.0,85.0,80.0,56.6,61.9,26.7,0.0,40.0,40.0
3,10002,10028,4004,SE,2,22,M,2009,2010,0,1,0,62.8,72.0,75.0,67.5,55.0,75.0,50.0,80.0,80.0,80.0,59.7,66.7,20.0,0.0,0.0,60.0
3,10002,10028,4004,SE,2,22,M,2010,2011,0,1,0,68.4,72.1,87.5,49.0,98.0,90.0,100.0,0.0,0.0,0.0,67.2,71.4,43.3,0.0,50.0,80.0
3,10002,10028,4004,SE,2,24,M,2007,2010,0,1,0,56.4,74.0,75.0,72.5,90.0,50.0,100.0,55.0,35.0,60.0,50.5,57.1,13.3,0.0,40.0,0.0
3,10002,10028,4004,SE,2,24,M,2008,2009,0,1,0,50.0,93.6,100.0,84.0,91.0,55.0,100.0,77.0,65.0,80.0,35.4,38.1,20.0,0.0,60.0,0.0
3,10002,10028,4004,SE,2,25,M,2006,2009,0,1,0,43.8,34.3,37.5,29.5,34.0,50.0,30.0,25.0,65.0,15.0,47.0,47.6,43.3,0.0,50.0,80.0
3,10002,10028,4004,SE,2,30,M,2001,2011,0,1,0,62.8,67.6,75.0,56.5,50.0,50.0,50.0,63.0,55.0,65.0,61.2,66.7,30.0,0.0,10.0,80.0
3,10002,10028,4004,SE,2,22,M,2009,2010,0,1,0,55.0,60.8,75.0,39.5,79.0,75.0,80.0,0.0,0.0,0.0,53.0,57.1,30.0,0.0,30.0,60.0
3,10002,10028,4004,SE,2,24,M,2007,2012,0,1,0,58.0,79.0,100.0,47.5,95.0,75.0,100.0,0.0,0.0,0.0,51.0,52.4,43.3,0.0,70.0,60.0
3,10002,10028,4004,SE,2,24,M,2007,2009,0,1,0,53.7,60.3,62.5,57.0,67.0,75.0,65.0,47.0,55.0,45.0,51.5,52.4,46.7,0.0,50.0,90.0
