CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,IN_MATUT,IN_VESPER,IN_NOTURNO,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3
1258,10005,10022,4004,PR,4,28,M,2004,2011,0,0,1,28.6,49.3,37.5,67.0,55.0,75.0,50.0,79.0,75.0,80.0,21.7,19.0,36.7,20.0,30.0,60.0
1258,10005,10022,4004,PR,4,21,M,2010,2011,0,0,1,34.8,26.7,12.5,48.0,46.0,70.0,40.0,50.0,50.0,50.0,37.5,42.9,6.7,20.0,0.0,0.0
1258,10005,10022,4004,PR,4,24,M,2009,2011,0,0,1,43.4,56.7,62.5,48.0,62.0,30.0,70.0,34.0,30.0,35.0,39.0,42.9,16.7,0.0,30.0,20.0
1258,10005,10022,4004,PR,4,20,M,2010,2011,0,0,1,39.7,73.7,87.5,53.0,60.0,40.0,65.0,46.0,50.0,45.0,28.3,33.3,0.0,0.0,0.0,0.0
1258,10005,10022,4004,PR,4,34,M,2010,2011,0,0,1,47.9,73.5,87.5,52.5,58.0,50.0,60.0,47.0,55.0,45.0,39.4,38.1,46.7,70.0,30.0,40.0
1258,10005,10022,4004,PR,4,27,M,2004,2011,0,0,1,34.7,49.4,50.0,48.5,84.0,60.0,90.0,13.0,65.0,0.0,29.8,33.3,10.0,0.0,30.0,0.0
1258,10005,10022,4004,PR,4,28,M,2003,2011,0,0,1,47.0,69.3,62.5,79.5,76.0,60.0,80.0,83.0,75.0,85.0,39.5,42.9,20.0,0.0,0.0,60.0
1258,10005,10022,4004,PR,4,25,M,2007,2011,0,0,1,42.2,45.6,50.0,39.0,54.0,50.0,55.0,24.0,0.0,30.0,41.0,47.6,3.3,0.0,10.0,0.0
1258,10005,10022,4004,PR,4,20,M,2010,2011,0,0,1,35.2,63.8,75.0,47.0,57.0,65.0,55.0,37.0,65.0,30.0,25.7,23.8,36.7,0.0,30.0,80.0
1258,10005,10022,4004,PR,4,33,M,2002,2011,0,0,1,27.5,46.2,50.0,40.5,61.0,65.0,60.0,20.0,40.0,15.0,21.2,23.8,6.7,0.0,20.0,0.0
1854,10008,10022,4006,SP,3,24,M,2007,2008,0,0,1,55.4,57.6,75.0,31.5,40.0,40.0,40.0,23.0,55.0,15.0,54.7,63.2,6.7,0.0,0.0,20.0
1854,10008,10022,4006,SP,3,28,M,2004,2009,0,0,1,39.4,48.0,50.0,45.0,27.0,75.0,15.0,63.0,75.0,60.0,36.5,42.1,5.0,0.0,15.0,0.0
1854,10008,10022,4006,SP,3,27,F,2005,2008,0,0,1,22.8,37.3,37.5,37.0,33.0,45.0,30.0,41.0,25.0,45.0,17.9,21.1,0.0,0.0,0.0,0.0
1854,10008,10022,4006,SP,3,24,F,2008,2009,0,0,1,24.0,28.8,25.0,34.5,46.0,70.0,40.0,23.0,55.0,15.0,22.4,26.3,0.0,0.0,0.0,0.0
263,10008,10022,4006,SP,3,22,M,2009,2011,0,0,1,38.8,73.1,62.5,89.0,84.0,60.0,90.0,94.0,70.0,100.0,27.4,31.6,3.3,0.0,10.0,0.0
263,10008,10022,4006,SP,3,38,M,1997,2009,0,0,1,58.2,71.8,75.0,67.0,72.0,40.0,80.0,62.0,50.0,65.0,53.7,63.2,0.0,0.0,0.0,0.0
263,10008,10022,4006,SP,3,24,M,2008,2009,0,0,1,46.5,47.2,50.0,43.0,51.0,55.0,50.0,35.0,55.0,30.0,46.2,52.6,10.0,0.0,30.0,0.0
263,10008,10022,4006,SP,3,24,F,2007,2011,0,0,1,21.3,31.4,25.0,41.0,31.0,55.0,25.0,51.0,75.0,45.0,17.9,21.1,0.0,0.0,0.0,0.0
263,10008,10022,4006,SP,3,25,F,2003,2011,0,0,1,39.0,44.1,37.5,54.0,56.0,80.0,50.0,52.0,60.0,50.0,37.3,42.1,10.0,0.0,30.0,0.0
263,10008,10022,4006,SP,3,23,M,2009,2011,0,0,1,44.5,49.0,50.0,47.5,56.0,80.0,50.0,39.0,75.0,30.0,43.0,47.4,18.3,0.0,25.0,30.0
263,10008,10022,4006,SP,3,27,M,2006,2011,0,0,1,59.9,65.3,62.5,69.5,64.0,60.0,65.0,75.0,55.0,80.0,58.1,68.4,0.0,0.0,0.0,0.0
263,10008,10022,4006,SP,3,29,M,2004,2011,0,0,1,39.4,60.2,50.0,75.5,76.0,60.0,80.0,75.0,55.0,80.0,32.5,36.8,8.3,0.0,0.0,25.0
263,10008,10022,4006,SP,3,31,M,2001,2008,0,0,1,32.7,61.4,50.0,78.5,63.0,75.0,60.0,94.0,70.0,100.0,23.1,26.3,5.0,0.0,15.0,0.0
263,10008,10022,4006,SP,3,28,F,2003,2011,0,0,1,34.7,44.9,37.5,56.0,76.0,80.0,75.0,36.0,60.0,30.0,31.3,36.8,0.0,0.0,0.0,0.0
263,10008,10022,4006,SP,3,22,F,2009,2011,0,0,1,30.3,57.4,50.0,68.5,78.0,70.0,80.0,59.0,55.0,60.0,21.2,21.1,21.7,0.0,25.0,40.0
263,10008,10022,4006,SP,3,21,M,2010,2011,0,0,1,34.3,63.8,50.0,84.5,90.0,50.0,100.0,79.0,75.0,80.0,24.4,26.3,13.3,0.0,40.0,0.0
263,10008,10022,4006,SP,3,21,M,2010,2011,0,0,1,50.6,63.6,75.0,46.5,42.0,50.0,40.0,51.0,75.0,45.0,46.2,52.6,10.0,0.0,30.0,0.0
263,10008,10022,4006,SP,3,26,M,2005,2011,0,0,1,52.0,56.6,50.0,66.5,74.0,50.0,80.0,59.0,55.0,60.0,50.5,57.9,8.3,0.0,0.0,25.0
263,10008,10022,4006,SP,3,21,F,2010,2011,0,0,1,51.8,75.8,75.0,77.0,75.0,75.0,75.0,79.0,75.0,80.0,43.8,47.4,23.3,0.0,40.0,30.0
263,10008,10022,4006,SP,3,22,F,2009,2011,0,0,1,21.6,19.0,0.0,47.5,0.0,0.0,0.0,95.0,75.0,100.0,22.4,26.3,0.0,0.0,0.0,0.0
263,10008,10022,4006,SP,3,21,M,2010,2011,0,0,1,34.2,52.4,50.0,56.0,62.0,70.0,60.0,50.0,70.0,45.0,28.1,31.6,8.3,0.0,0.0,25.0
263,10008,10022,4006,SP,3,23,M,2008,2011,0,0,1,54.1,64.9,62.5,68.5,63.0,75.0,60.0,74.0,50.0,80.0,50.5,57.9,8.3,0.0,0.0,25.0
263,10008,10022,4006,SP,3,21,M,2010,2011,0,0,1,48.3,59.2,50.0,73.0,55.0,75.0,50.0,91.0,55.0,100.0,44.7,52.6,0.0,0.0,0.0,0.0
263,10008,10022,4006,SP,3,41,M,2008,2009,0,0,1,34.4,34.0,25.0,47.5,30.0,50.0,25.0,65.0,65.0,65.0,34.5,36.8,21.7,0.0,15.0,50.0
263,10008,10022,4006,SP,3,22,M,2010,2011,0,0,1,46.0,56.3,37.5,84.5,90.0,90.0,90.0,79.0,75.0,80.0,42.5,47.4,15.0,0.0,15.0,30.0
263,10008,10022,4006,SP,3,21,M,2010,2011,0,0,1,33.7,52.6,50.0,56.5,65.0,65.0,65.0,48.0,60.0,45.0,27.4,31.6,3.3,0.0,10.0,0.0
263,10008,10022,4006,SP,3,22,F,2009,2011,0,0,1,30.4,50.6,50.0,51.5,56.0,80.0,50.0,47.0,55.0,45.0,23.6,26.3,8.3,0.0,25.0,0.0
263,10008,10022,4006,SP,3,22,M,2010,2011,0,0,1,35.8,42.8,50.0,32.0,49.0,45.0,50.0,15.0,75.0,0.0,33.5,36.8,15.0,0.0,45.0,0.0
263,10008,10022,4006,SP,3,30,F,2002,2011,0,0,1,32.1,59.2,50.0,73.0,53.0,85.0,45.0,93.0,65.0,100.0,23.1,26.3,5.0,0.0,15.0,0.0
263,10008,10022,4006,SP,3,38,M,1993,2011,0,0,1,31.1,40.8,50.0,27.0,17.0,85.0,0.0,37.0,65.0,30.0,27.9,31.6,6.7,0.0,0.0,20.0
1324,10008,10022,4006,RJ,3,22,M,2010,2011,0,0,1,48.9,57.1,62.5,49.0,61.0,65.0,60.0,37.0,65.0,30.0,46.2,52.6,10.0,0.0,30.0,0.0
1324,10008,10022,4006,RJ,3,28,M,2010,2011,0,0,1,45.8,69.2,75.0,60.5,86.0,30.0,100.0,35.0,55.0,30.0,38.0,42.1,15.0,0.0,45.0,0.0
1324,10008,10022,4006,RJ,3,30,M,2002,2009,0,0,1,26.3,51.3,62.5,34.5,33.0,45.0,30.0,36.0,60.0,30.0,17.9,21.1,0.0,0.0,0.0,0.0
1324,10008,10022,4006,RJ,3,30,M,2005,2011,0,0,1,33.0,62.6,75.0,44.0,51.0,55.0,50.0,37.0,65.0,30.0,23.1,26.3,5.0,0.0,15.0,0.0
1324,10008,10022,4006,RJ,3,30,F,2001,2008,0,0,1,48.1,63.8,50.0,84.5,76.0,80.0,75.0,93.0,65.0,100.0,42.8,47.4,16.7,0.0,0.0,50.0
1324,10008,10022,4006,RJ,3,24,F,2008,2011,0,0,1,42.1,56.3,62.5,47.0,55.0,75.0,50.0,39.0,75.0,30.0,37.3,42.1,10.0,0.0,30.0,0.0
1324,10008,10022,4006,RJ,3,24,M,2008,2012,0,0,1,55.1,53.2,50.0,58.0,57.0,45.0,60.0,59.0,55.0,60.0,55.7,63.2,13.3,0.0,15.0,25.0
1324,10008,10022,4006,RJ,3,21,M,2010,2011,0,0,1,48.9,69.5,62.5,80.0,77.0,65.0,80.0,83.0,75.0,85.0,42.0,47.4,11.7,0.0,15.0,20.0
1324,10008,10022,4006,RJ,3,23,F,2007,2011,0,0,1,24.9,27.9,12.5,51.0,35.0,55.0,30.0,67.0,75.0,65.0,23.9,26.3,10.0,0.0,0.0,30.0
1324,10008,10022,4006,RJ,3,24,M,2007,2010,0,0,1,50.6,68.2,75.0,58.0,73.0,65.0,75.0,43.0,75.0,35.0,44.7,52.6,0.0,0.0,0.0,0.0
1324,10008,10022,4006,RJ,3,27,M,2006,2012,0,0,1,38.3,59.3,62.5,54.5,51.0,55.0,50.0,58.0,50.0,60.0,31.3,36.8,0.0,0.0,0.0,0.0
1324,10008,10022,4006,RJ,3,23,M,2009,2010,0,0,1,14.6,18.1,12.5,26.5,45.0,65.0,40.0,8.0,40.0,0.0,13.4,15.8,0.0,0.0,0.0,0.0
1324,10008,10022,4006,RJ,3,25,M,2007,2010,0,0,1,41.9,73.6,75.0,71.5,87.0,75.0,90.0,56.0,40.0,60.0,31.3,36.8,0.0,0.0,0.0,0.0
1324,10008,10022,4006,RJ,3,24,M,2007,2011,0,0,1,45.6,69.7,62.5,80.5,95.0,75.0,100.0,66.0,70.0,65.0,37.5,42.1,11.7,0.0,15.0,20.0
1324,10008,10022,4006,RJ,3,32,F,1999,2008,0,0,1,25.6,41.8,50.0,29.5,0.0,0.0,0.0,59.0,55.0,60.0,20.2,21.1,15.0,0.0,30.0,15.0
1324,10008,10022,4006,RJ,3,24,F,2007,2010,0,0,1,36.7,66.1,62.5,71.5,94.0,70.0,100.0,49.0,65.0,45.0,26.9,31.6,0.0,0.0,0.0,0.0
1324,10008,10022,4006,RJ,3,32,M,2000,2002,0,0,1,50.7,77.4,75.0,81.0,85.0,65.0,90.0,77.0,65.0,80.0,41.8,47.4,10.0,0.0,30.0,0.0
1324,10008,10022,4006,RJ,3,32,M,2000,2007,0,0,1,45.0,57.1,62.5,49.0,47.0,75.0,40.0,51.0,75.0,45.0,41.0,47.4,5.0,0.0,15.0,0.0
1324,10008,10022,4006,RJ,3,33,F,2003,2009,0,0,1,39.2,76.2,75.0,78.0,79.0,75.0,80.0,77.0,65.0,80.0,26.9,31.6,0.0,0.0,0.0,0.0
1324,10008,10022,4006,RJ,3,29,M,2002,2003,0,0,1,42.3,59.5,62.5,55.0,46.0,70.0,40.0,64.0,60.0,65.0,36.5,42.1,5.0,0.0,15.0,0.0
1324,10008,10022,4006,RJ,3,28,F,2006,2008,0,0,1,40.7,40.2,50.0,25.5,23.0,55.0,15.0,28.0,80.0,15.0,40.8,47.4,3.3,0.0,0.0,10.0
1324,10008,10022,4006,RJ,3,34,M,1998,2011,0,0,1,43.1,65.1,62.5,69.0,61.0,85.0,55.0,77.0,65.0,80.0,35.8,42.1,0.0,0.0,0.0,0.0
1324,10008,10022,4006,RJ,3,30,M,2006,2012,0,0,1,18.4,46.7,37.5,60.5,58.0,50.0,60.0,63.0,55.0,65.0,8.9,10.5,0.0,0.0,0.0,0.0
1324,10008,10022,4006,RJ,3,24,M,2009,2010,0,0,1,27.2,50.6,50.0,51.5,68.0,60.0,70.0,35.0,55.0,30.0,19.4,21.1,10.0,0.0,0.0,30.0
1324,10008,10022,4006,RJ,3,31,M,2001,2011,0,0,1,33.3,62.4,50.0,81.0,72.0,60.0,75.0,90.0,50.0,100.0,23.6,26.3,8.3,0.0,25.0,0.0
1324,10008,10022,4006,RJ,3,26,M,2006,2009,0,0,1,36.5,45.4,50.0,38.5,70.0,90.0,65.0,7.0,35.0,0.0,33.5,36.8,15.0,0.0,45.0,0.0
1325,10008,10022,4006,PR,4,23,M,2008,2010,0,0,1,45.5,55.8,75.0,27.0,22.0,50.0,15.0,32.0,40.0,30.0,42.0,47.4,11.7,0.0,0.0,35.0
1325,10008,10022,4006,PR,4,26,M,2006,2011,0,0,1,46.6,69.2,75.0,60.5,57.0,45.0,60.0,64.0,60.0,65.0,39.0,42.1,21.7,0.0,0.0,65.0
1325,10008,10022,4006,PR,4,24,M,2007,2011,0,0,1,41.5,45.2,50.0,38.0,41.0,45.0,40.0,35.0,55.0,30.0,40.3,47.4,0.0,0.0,0.0,0.0
1325,10008,10022,4006,PR,4,22,F,2010,2011,0,0,1,32.2,46.6,50.0,41.5,43.0,55.0,40.0,40.0,80.0,30.0,27.4,31.6,3.3,0.0,10.0,0.0
1325,10008,10022,4006,PR,4,22,M,2008,2011,0,0,1,47.2,64.3,62.5,67.0,55.0,75.0,50.0,79.0,75.0,80.0,41.5,47.4,8.3,0.0,0.0,25.0
1325,10008,10022,4006,PR,4,21,M,2010,2011,0,0,1,33.0,64.8,75.0,49.5,88.0,80.0,90.0,11.0,55.0,0.0,22.4,26.3,0.0,0.0,0.0,0.0
1325,10008,10022,4006,PR,4,23,M,2008,2011,0,0,1,24.6,26.8,25.0,29.5,7.0,35.0,0.0,52.0,60.0,50.0,23.9,26.3,10.0,0.0,30.0,0.0
1325,10008,10022,4006,PR,4,23,M,2008,2011,0,0,1,29.7,65.0,75.0,50.0,35.0,75.0,25.0,65.0,65.0,65.0,17.9,21.1,0.0,0.0,0.0,0.0
1325,10008,10022,4006,PR,4,22,F,2009,2010,0,0,1,39.7,51.5,62.5,35.0,47.0,55.0,45.0,23.0,55.0,15.0,35.8,42.1,0.0,0.0,0.0,0.0
1325,10008,10022,4006,PR,4,25,M,2006,2011,0,0,1,35.5,74.7,87.5,55.5,50.0,50.0,50.0,61.0,65.0,60.0,22.4,26.3,0.0,0.0,0.0,0.0
1325,10008,10022,4006,PR,4,21,M,2011,2011,0,0,1,34.7,39.7,37.5,43.0,51.0,55.0,50.0,35.0,55.0,30.0,33.0,36.8,11.7,0.0,0.0,35.0
1325,10008,10022,4006,PR,4,21,M,2010,2011,0,0,1,37.2,49.8,50.0,49.5,31.0,55.0,25.0,68.0,80.0,65.0,33.0,36.8,11.7,0.0,0.0,35.0
1325,10008,10022,4006,PR,4,24,M,2008,2011,0,0,1,23.2,38.9,37.5,41.0,47.0,75.0,40.0,35.0,55.0,30.0,17.9,21.1,0.0,0.0,0.0,0.0
1325,10008,10022,4006,PR,4,24,M,2008,2011,0,0,1,24.4,16.7,12.5,23.0,12.0,60.0,0.0,34.0,50.0,30.0,26.9,31.6,0.0,0.0,0.0,0.0
1325,10008,10022,4006,PR,4,29,M,2004,2007,0,0,1,29.4,49.0,50.0,47.5,34.0,50.0,30.0,61.0,65.0,60.0,22.9,26.3,3.3,0.0,0.0,10.0
1325,10008,10022,4006,PR,4,22,M,2009,2010,0,0,1,63.3,89.1,87.5,91.5,87.0,75.0,90.0,96.0,80.0,100.0,54.7,63.2,6.7,0.0,0.0,20.0
1325,10008,10022,4006,PR,4,23,M,2008,2011,0,0,1,27.4,64.0,75.0,47.5,34.0,70.0,25.0,61.0,65.0,60.0,15.2,15.8,11.7,0.0,25.0,10.0
1325,10008,10022,4006,PR,4,20,M,2010,2011,0,0,1,53.0,67.3,87.5,37.0,74.0,70.0,75.0,0.0,0.0,0.0,48.2,52.6,23.3,0.0,0.0,70.0
1325,10008,10022,4006,PR,4,23,M,2008,2012,0,0,1,40.7,79.8,100.0,49.5,50.0,30.0,55.0,49.0,65.0,45.0,27.6,31.6,5.0,0.0,0.0,15.0
1325,10008,10022,4006,PR,4,22,M,2009,2011,0,0,1,53.2,71.8,75.0,67.0,68.0,40.0,75.0,66.0,70.0,65.0,47.0,52.6,15.0,0.0,15.0,30.0
1325,10008,10022,4006,PR,4,25,M,2007,2010,0,0,1,47.7,57.3,62.5,49.5,64.0,60.0,65.0,35.0,55.0,30.0,44.5,47.4,28.3,0.0,15.0,70.0
1325,10008,10022,4006,PR,4,22,M,2009,2010,0,0,1,24.7,43.7,37.5,53.0,55.0,75.0,50.0,51.0,75.0,45.0,18.4,21.1,3.3,0.0,10.0,0.0
1330,10005,10022,4006,MG,3,33,M,2001,2010,0,0,1,51.4,74.9,62.5,93.5,93.0,65.0,100.0,94.0,70.0,100.0,43.5,47.4,21.7,0.0,40.0,25.0
1330,10005,10022,4006,MG,3,28,M,2003,2009,0,0,1,64.6,94.4,100.0,86.0,76.0,80.0,75.0,96.0,80.0,100.0,54.7,63.2,6.7,0.0,0.0,20.0
1330,10005,10022,4006,MG,3,25,F,2006,2010,0,0,1,56.7,43.4,50.0,33.5,67.0,55.0,70.0,0.0,0.0,0.0,61.1,68.4,20.0,0.0,60.0,0.0
1330,10005,10022,4006,MG,3,27,M,2005,2010,0,0,1,51.3,37.2,50.0,18.0,0.0,0.0,0.0,36.0,60.0,30.0,56.0,63.2,15.0,0.0,0.0,45.0
1330,10005,10022,4006,MG,3,26,M,2005,2009,0,0,1,62.1,66.6,75.0,54.0,81.0,85.0,80.0,27.0,75.0,15.0,60.6,68.4,16.7,0.0,0.0,50.0
1330,10005,10022,4006,MG,3,26,M,2006,2011,0,0,1,53.8,76.6,75.0,79.0,93.0,65.0,100.0,65.0,85.0,60.0,46.2,52.6,10.0,0.0,10.0,20.0
1330,10005,10022,4006,MG,3,21,F,2010,2012,0,0,1,64.1,72.2,75.0,68.0,74.0,50.0,80.0,62.0,70.0,60.0,61.4,68.4,21.7,0.0,45.0,20.0
1330,10005,10022,4006,MG,3,22,M,2009,2011,0,0,1,51.0,71.1,87.5,46.5,43.0,55.0,40.0,50.0,70.0,45.0,44.3,47.4,26.7,0.0,55.0,25.0
1330,10005,10022,4006,MG,3,27,F,2005,2010,0,0,1,42.6,36.1,37.5,34.0,54.0,30.0,60.0,14.0,70.0,0.0,44.7,52.6,0.0,0.0,0.0,0.0
1330,10005,10022,4006,MG,3,21,F,2010,2011,0,0,1,40.9,52.7,37.5,75.5,72.0,60.0,75.0,79.0,75.0,80.0,37.0,42.1,8.3,0.0,0.0,25.0
1330,10005,10022,4006,MG,3,22,M,2010,2011,0,0,1,41.0,68.4,75.0,58.5,55.0,75.0,50.0,62.0,50.0,65.0,31.8,36.8,3.3,0.0,10.0,0.0
1330,10005,10022,4006,MG,3,21,M,2010,2011,0,0,1,68.8,67.1,87.5,36.5,73.0,65.0,75.0,0.0,0.0,0.0,69.3,78.9,15.0,0.0,0.0,45.0
1330,10005,10022,4006,MG,3,32,M,2000,2009,0,0,1,41.1,77.2,75.0,80.5,69.0,85.0,65.0,92.0,60.0,100.0,29.1,31.6,15.0,0.0,0.0,45.0
1330,10005,10022,4006,MG,3,24,M,2008,2010,0,0,1,71.9,75.7,87.5,58.0,78.0,90.0,75.0,38.0,70.0,30.0,70.6,78.9,23.3,0.0,70.0,0.0
1330,10005,10022,4006,MG,3,46,M,1986,2010,0,0,1,48.7,47.0,25.0,80.0,82.0,50.0,90.0,78.0,50.0,85.0,49.2,57.9,0.0,0.0,0.0,0.0
1330,10005,10022,4006,MG,3,32,M,2001,2010,0,0,1,38.6,41.7,37.5,48.0,38.0,70.0,30.0,58.0,50.0,60.0,37.5,42.1,11.7,0.0,15.0,20.0
1330,10005,10022,4006,MG,3,24,M,2007,2008,0,0,1,48.7,69.5,87.5,42.5,48.0,40.0,50.0,37.0,65.0,30.0,41.8,47.4,10.0,0.0,30.0,0.0
1330,10005,10022,4006,MG,3,24,M,2008,2010,0,0,1,66.2,83.0,100.0,57.5,62.0,50.0,65.0,53.0,65.0,50.0,60.6,68.4,16.7,0.0,15.0,35.0
1330,10005,10022,4006,MG,3,22,M,2009,2010,0,0,1,66.9,82.9,87.5,76.0,75.0,75.0,75.0,77.0,65.0,80.0,61.6,68.4,23.3,20.0,0.0,50.0
1330,10005,10022,4006,MG,3,21,M,2010,2011,0,0,1,63.4,75.3,62.5,94.5,95.0,75.0,100.0,94.0,70.0,100.0,59.4,68.4,8.3,0.0,0.0,25.0
1330,10005,10022,4006,MG,3,24,M,2007,2010,0,0,1,54.8,67.5,62.5,75.0,73.0,65.0,75.0,77.0,65.0,80.0,50.5,57.9,8.3,0.0,25.0,0.0
1330,10005,10022,4006,MG,3,23,M,2008,2010,0,0,1,37.3,63.4,75.0,46.0,55.0,75.0,50.0,37.0,65.0,30.0,28.6,31.6,11.7,0.0,0.0,35.0
1330,10005,10022,4006,MG,3,42,M,1995,2009,0,0,1,41.4,66.4,75.0,53.5,31.0,55.0,25.0,76.0,60.0,80.0,33.0,36.8,11.7,0.0,15.0,20.0
1330,10005,10022,4006,MG,3,21,M,2010,2011,0,0,1,59.0,53.4,50.0,58.5,55.0,75.0,50.0,62.0,70.0,60.0,60.9,68.4,18.3,0.0,15.0,40.0
1330,10005,10022,4006,MG,3,21,F,2010,2011,0,0,1,45.0,51.7,37.5,73.0,52.0,80.0,45.0,94.0,70.0,100.0,42.8,47.4,16.7,0.0,10.0,40.0
1330,10005,10022,4006,MG,3,23,F,2008,2011,0,0,1,49.4,72.9,62.5,88.5,97.0,85.0,100.0,80.0,80.0,80.0,41.5,47.4,8.3,0.0,15.0,10.0
383,10005,10028,4004,PA,1,35,M,2005,2010,0,0,1,41.0,63.9,62.5,66.0,62.0,50.0,65.0,70.0,30.0,80.0,33.3,33.3,33.3,0.0,20.0,80.0
383,10005,10028,4004,PA,1,23,M,2008,2009,0,0,1,24.8,49.2,75.0,10.5,0.0,0.0,0.0,21.0,45.0,15.0,16.7,14.3,30.0,0.0,0.0,90.0
383,10005,10028,4004,PA,1,21,M,2010,2012,0,0,1,35.4,58.1,62.5,51.5,49.0,65.0,45.0,54.0,70.0,50.0,27.8,28.6,23.3,0.0,50.0,20.0
383,10005,10028,4004,PA,1,21,M,2010,2011,0,1,0,45.1,54.3,62.5,42.0,23.0,55.0,15.0,61.0,65.0,60.0,42.0,42.9,36.7,10.0,80.0,20.0
383,10005,10028,4004,PA,1,24,M,2008,2011,0,0,1,41.1,59.9,62.5,56.0,59.0,55.0,60.0,53.0,65.0,50.0,34.8,33.3,43.3,0.0,50.0,80.0
383,10005,10028,4004,PA,1,21,F,2009,2011,0,1,0,36.0,61.9,62.5,61.0,67.0,75.0,65.0,55.0,75.0,50.0,27.3,28.6,20.0,0.0,40.0,20.0
383,10005,10028,4004,PA,1,31,M,2001,2011,0,0,1,45.7,76.7,87.5,60.5,41.0,85.0,30.0,80.0,60.0,85.0,35.4,38.1,20.0,10.0,30.0,20.0
383,10005,10028,4004,PA,1,31,M,2001,2009,0,1,0,34.4,42.0,50.0,30.0,60.0,40.0,65.0,0.0,0.0,0.0,31.8,28.6,50.0,0.0,70.0,80.0
383,10005,10028,4004,PA,1,21,M,2010,2011,0,1,0,31.4,25.3,37.5,7.0,6.0,30.0,0.0,8.0,40.0,0.0,33.4,38.1,6.7,0.0,20.0,0.0
383,10005,10028,4004,PA,1,27,M,2005,2011,0,0,1,46.9,70.7,62.5,83.0,87.0,75.0,90.0,79.0,75.0,80.0,38.9,38.1,43.3,0.0,50.0,80.0
383,10005,10028,4004,PA,1,28,M,2003,2013,0,1,0,45.1,52.8,50.0,57.0,53.0,65.0,50.0,61.0,65.0,60.0,42.5,47.6,13.3,0.0,0.0,40.0
383,10005,10028,4004,PA,1,20,M,2010,2011,0,1,0,53.8,50.0,50.0,50.0,35.0,55.0,30.0,65.0,65.0,65.0,55.0,57.1,43.3,30.0,50.0,50.0
383,10005,10028,4004,PA,1,22,M,2010,2011,0,0,1,33.8,47.3,62.5,24.5,49.0,45.0,50.0,0.0,0.0,0.0,29.3,33.3,6.7,0.0,20.0,0.0
417,10005,10028,4004,SP,3,26,M,2005,2013,0,0,1,53.8,63.5,62.5,65.0,52.0,40.0,55.0,78.0,70.0,80.0,50.5,52.4,40.0,30.0,30.0,60.0
417,10005,10028,4004,SP,3,24,F,2008,2010,0,0,1,32.3,59.4,75.0,36.0,60.0,60.0,60.0,12.0,0.0,15.0,23.2,23.8,20.0,0.0,20.0,40.0
417,10005,10028,4004,SP,3,25,M,2006,2013,0,0,1,48.0,59.8,75.0,37.0,43.0,55.0,40.0,31.0,35.0,30.0,44.0,47.6,23.3,0.0,50.0,20.0
417,10005,10028,4004,SP,3,28,M,2005,2013,0,0,1,43.9,83.0,100.0,57.5,53.0,65.0,50.0,62.0,70.0,60.0,30.8,33.3,16.7,0.0,50.0,0.0
417,10005,10028,4004,SP,3,23,M,2008,2009,0,0,1,32.9,58.7,62.5,53.0,35.0,55.0,30.0,71.0,35.0,80.0,24.3,28.6,0.0,0.0,0.0,0.0
417,10005,10028,4004,SP,3,21,M,2010,2011,0,0,1,40.2,63.4,75.0,46.0,69.0,45.0,75.0,23.0,55.0,15.0,32.4,38.1,0.0,0.0,0.0,0.0
417,10005,10028,4004,SP,3,27,F,2004,2011,0,0,1,51.5,68.1,62.5,76.5,74.0,70.0,75.0,79.0,75.0,80.0,46.0,52.4,10.0,0.0,30.0,0.0
417,10005,10028,4004,SP,3,23,M,2008,2014,0,0,1,38.6,57.1,62.5,49.0,51.0,55.0,50.0,47.0,55.0,45.0,32.4,38.1,0.0,0.0,0.0,0.0
417,10005,10028,4004,SP,3,25,F,2006,2013,0,0,1,32.3,50.3,62.5,32.0,0.0,0.0,0.0,64.0,60.0,65.0,26.3,28.6,13.3,0.0,40.0,0.0
417,10005,10028,4004,SP,3,24,M,2008,2013,0,0,1,21.5,47.8,50.0,44.5,52.0,60.0,50.0,37.0,65.0,30.0,12.7,14.3,3.3,0.0,10.0,0.0
417,10005,10028,4004,SP,3,34,M,2001,2011,0,0,1,35.3,77.6,75.0,81.5,87.0,75.0,90.0,76.0,60.0,80.0,21.2,23.8,6.7,0.0,0.0,20.0
417,10005,10028,4004,SP,3,29,M,2000,2013,0,0,1,47.5,73.1,87.5,51.5,65.0,65.0,65.0,38.0,50.0,35.0,38.9,38.1,43.3,10.0,100.0,20.0
417,10005,10028,4004,SP,3,23,M,2008,2009,0,0,1,51.1,76.9,87.5,61.0,57.0,65.0,55.0,65.0,65.0,65.0,42.5,42.9,40.0,70.0,50.0,0.0
417,10005,10028,4004,SP,3,23,M,2008,2009,0,0,1,33.8,56.2,50.0,65.5,54.0,70.0,50.0,77.0,65.0,80.0,26.3,28.6,13.3,0.0,40.0,0.0
