data,time1,time2,result
21/09/2002,"Santos","Goiás",E
22/09/2002,"AtléticoMG","Flamengo",D
22/09/2002,"AtléticoPR","SãoPaulo",E
22/09/2002,"Corinthians","Paraná",V
22/09/2002,"Grêmio","Vitória",V
22/09/2002,"Guarani","Juventude",E
22/09/2002,"Paysandu","PontePreta",V
22/09/2002,"SãoCaetano","Bahia",V
22/09/2002,"Vasco","Internacional",E
25/09/2002,"Cruzeiro","Vasco",V
25/09/2002,"Fluminense","AtléticoPR",D
25/09/2002,"Internacional","Bahia",V
25/09/2002,"Juventude","Corinthians",D
25/09/2002,"Paraná","Guarani",D
25/09/2002,"PontePreta","Figueirense",V
25/09/2002,"SãoPaulo","AtléticoMG",D
25/09/2002,"Vitória","SãoCaetano",E
26/09/2002,"Coritiba","Portuguesa",V
26/09/2002,"Flamengo","Grêmio",D
26/09/2002,"Gama","Santos",E
26/09/2002,"Palmeiras","Paysandu",V
28/09/2002,"AtléticoPR","SãoCaetano",D
28/09/2002,"Bahia","BotafogoRJ",D
28/09/2002,"Cruzeiro","Juventude",V
28/09/2002,"Fluminense","Guarani",V
28/09/2002,"Internacional","Paraná",D
29/09/2002,"Figueirense","Gama",V
29/09/2002,"Goiás","Grêmio",V
29/09/2002,"Paysandu","AtléticoMG",V
29/09/2002,"PontePreta","Flamengo",V
29/09/2002,"Santos","Palmeiras",E
29/09/2002,"SãoPaulo","Corinthians",E
29/09/2002,"Vasco","Portuguesa",V
02/10/2002,"Flamengo","Bahia",E
02/10/2002,"Gama","Internacional",E
02/10/2002,"Grêmio","Paysandu",V
02/10/2002,"Juventude","Goiás",V
02/10/2002,"Palmeiras","SãoPaulo",E
02/10/2002,"BotafogoRJ","PontePreta",V
02/10/2002,"SãoCaetano","Coritiba",V
02/10/2002,"Vitória","Fluminense",V
03/10/2002,"AtléticoMG","Figueirense",D
03/10/2002,"Corinthians","Santos",D
03/10/2002,"Paraná","Cruzeiro",E
05/10/2002,"BotafogoRJ","SãoCaetano",E
05/10/2002,"Flamengo","SãoPaulo",D
05/10/2002,"Gama","Paysandu",V
05/10/2002,"Goiás","AtléticoPR",E
05/10/2002,"Guarani","Vasco",D
05/10/2002,"Palmeiras","Portuguesa",V
08/10/2002,"Fluminense","Paraná",V
08/10/2002,"Guarani","Gama",V
08/10/2002,"SãoPaulo","Coritiba",V
09/10/2002,"Grêmio","BotafogoRJ",E
09/10/2002,"AtléticoPR","PontePreta",D
09/10/2002,"Corinthians","Figueirense",E
09/10/2002,"Flamengo","SãoCaetano",V
09/10/2002,"Goiás","Palmeiras",V
09/10/2002,"Juventude","Portuguesa",E
09/10/2002,"Paysandu","Bahia",V
09/10/2002,"Santos","AtléticoMG",V
09/10/2002,"Vitória","Cruzeiro",V
12/10/2002,"Figueirense","SãoPaulo",D
12/10/2002,"Palmeiras","Juventude",E
12/10/2002,"Paraná","Vitória",V
12/10/2002,"SãoCaetano","Vasco",V
13/10/2002,"Bahia","AtléticoMG",V
13/10/2002,"BotafogoRJ","Paysandu",V
13/10/2002,"Coritiba","Guarani",D
13/10/2002,"Cruzeiro","Santos",D
13/10/2002,"Gama","Corinthians",D
13/10/2002,"Internacional","Fluminense",E
13/10/2002,"PontePreta","Goiás",V
13/10/2002,"Portuguesa","AtléticoPR",E
16/10/2002,"Bahia","PontePreta",V
16/10/2002,"Coritiba","Grêmio",E
16/10/2002,"Figueirense","AtléticoPR",V
16/10/2002,"Gama","Juventude",V
16/10/2002,"Internacional","Goiás",D
16/10/2002,"Paysandu","Paraná",V
16/10/2002,"SãoPaulo","Santos",V
16/10/2002,"Vasco","Flamengo",V
17/10/2002,"AtléticoMG","SãoCaetano",V
17/10/2002,"BotafogoRJ","Vitória",D
17/10/2002,"Palmeiras","Guarani",V
19/10/2002,"Grêmio","Gama",V
19/10/2002,"Santos","Portuguesa",D
19/10/2002,"Vasco","Paraná",V
20/10/2002,"AtléticoPR","Internacional",D
20/10/2002,"Corinthians","PontePreta",V
20/10/2002,"Cruzeiro","AtléticoMG",D
20/10/2002,"Fluminense","Bahia",V
20/10/2002,"Goiás","Figueirense",V
20/10/2002,"Guarani","SãoPaulo",D
20/10/2002,"Juventude","Coritiba",V
20/10/2002,"SãoCaetano","Paysandu",V
20/10/2002,"Vitória","Flamengo",D
23/10/2002,"Bahia","Vasco",V
23/10/2002,"Corinthians","Palmeiras",E
23/10/2002,"Figueirense","Flamengo",V
23/10/2002,"Fluminense","Goiás",E
23/10/2002,"Paraná","Gama",V
23/10/2002,"Paysandu","Santos",V
23/10/2002,"PontePreta","Vitória",E
23/10/2002,"Portuguesa","Guarani",V
23/10/2002,"SãoCaetano","Cruzeiro",E
26/10/2002,"AtléticoPR","Coritiba",V
26/10/2002,"BotafogoRJ","Fluminense",D
26/10/2002,"Gama","Goiás",D
26/10/2002,"Internacional","Grêmio",D
26/10/2002,"Juventude","Figueirense",V
26/10/2002,"Portuguesa","SãoPaulo",D
26/10/2002,"Santos","Flamengo",V
28/10/2002,"Guarani","PontePreta",D
30/10/2002,"AtléticoMG","Internacional",V
30/10/2002,"Bahia","Santos",E
30/10/2002,"Coritiba","Cruzeiro",V
30/10/2002,"Figueirense","SãoCaetano",D
30/10/2002,"Flamengo","Corinthians",D
30/10/2002,"Grêmio","AtléticoPR",V
30/10/2002,"Palmeiras","BotafogoRJ",V
30/10/2002,"Paysandu","Goiás",D
31/10/2002,"Fluminense","Vasco",V
31/10/2002,"Paraná","Juventude",V
31/10/2002,"SãoPaulo","PontePreta",V
02/11/2002,"Flamengo","BotafogoRJ",V
02/11/2002,"Guarani","Santos",D
02/11/2002,"Internacional","Coritiba",D
03/11/2002,"AtléticoPR","AtléticoMG",E
03/11/2002,"Corinthians","Fluminense",D
03/11/2002,"Cruzeiro","Grêmio",V
03/11/2002,"Goiás","Paraná",V
03/11/2002,"Paysandu","Figueirense",V
03/11/2002,"PontePreta","Portuguesa",E
03/11/2002,"SãoCaetano","Juventude",V
03/11/2002,"Vasco","Palmeiras",V
03/11/2002,"Vitória","Bahia",V
06/11/2002,"AtléticoPR","Paysandu",V
06/11/2002,"Figueirense","Grêmio",D
06/11/2002,"Fluminense","Palmeiras",D
