time1,time2,r1c,r1f,r2c,r2f,result
"Grêmio","Corinthians",0.466667,0.133333,0.266667,0.6,V
"Guarani","Paysandu",0.466667,0.466667,0,0.2,V
"Juventude","Bahia",1,0.266667,0.4,0.0666667,V
"Paraná","Flamengo",0.6,0,0.4,0.2,V
"Santos","AtléticoPR",0.866667,0.0666667,0.8,0.333333,E
"Vitória","Internacional",0.733333,0,0.466667,0.4,E
"Bahia","Grêmio",0.466667,0.0666667,0.466667,0.2,E
"Coritiba","Santos",0.8,0.266667,0.866667,0.0666667,V
"Figueirense","Vitória",0.0666667,0.266667,0.733333,0.2,D
"Flamengo","AtléticoPR",0.533333,0.2,0.8,0.333333,V
"Internacional","Palmeiras",0.666667,0.4,0.4,0.0666667,V
"Paysandu","Vasco",0.2,0.2,0.4,0.2,V
"PontePreta","Paraná",0.666667,0.0666667,0.6,0,V
"Portuguesa","SãoCaetano",0.666667,0.333333,0.8,0.2,V
"BotafogoRJ","Juventude",0.333333,0.333333,1,0.466667,D
"Corinthians","Goiás",0.466667,0.6,0.333333,0.0666667,V
"Cruzeiro","Guarani",0.533333,0.133333,0.466667,0.666667,D
"Gama","Fluminense",0.466667,0.266667,0.666667,0.266667,D
"Internacional","Figueirense",0.666667,0.4,0.0666667,0.466667,D
"Palmeiras","Bahia",0.333333,0.0666667,0.466667,0.266667,D
"Paraná","AtléticoPR",0.666667,0,0.8,0.4,E
"Santos","Grêmio",0.866667,0.0666667,0.466667,0.133333,V
"BotafogoRJ","Vasco",0.4,0.333333,0.4,0.266667,E
"Coritiba","Goiás",0.8,0.266667,0.333333,0.0666667,V
"Cruzeiro","Paysandu",0.666667,0.133333,0.2,0.2,V
"Guarani","Corinthians",0.533333,0.666667,0.466667,0.466667,E
"Juventude","AtléticoMG",1,0.466667,0.533333,0.666667,V
"SãoCaetano","Gama",1,0.2,0.466667,0.266667,V
"SãoPaulo","Fluminense",0.8,0.466667,0.666667,0.2,V
"Vitória","Portuguesa",0.733333,0.2,0.666667,0.333333,V
"AtléticoPR","Gama",0.8,0.4,0.466667,0.266667,D
"Bahia","SãoPaulo",0.466667,0.266667,0.8,0.266667,V
"Figueirense","Cruzeiro",0.266667,0.466667,0.666667,0.133333,V
"Goiás","SãoCaetano",0.333333,0.0666667,1,0.2,V
"Paysandu","Coritiba",0.266667,0.2,0.8,0.333333,E
"PontePreta","Palmeiras",0.666667,0.0666667,0.333333,0.0666667,V
"Portuguesa","BotafogoRJ",0.666667,0.333333,0.4,0.333333,V
"Vasco","Santos",0.4,0.266667,0.866667,0.266667,D
"AtléticoMG","Paraná",0.733333,0.666667,0.666667,0,V
