time1,time2,r1c,r1f,r2c,r2f,result
"Criciúma","Santos",0.466667,0.0666667,0.466667,0.466667,D
"Fluminense","Vasco",0.4,0.2,0.466667,0.0666667,E
"Fortaleza","Corinthians",0.333333,0.0666667,0.266667,0.333333,D
"Internacional","Goiás",0.666667,0.4,0.333333,0,V
"Juventude","Guarani",0.4,0,0.466667,0.0666667,E
"PontePreta","AtléticoMG",0.533333,0.133333,0.266667,0.6,V
"SãoCaetano","Paysandu",0.533333,0.133333,0.4,0.133333,V
"SãoPaulo","Figueirense",0.6,0.133333,0.2,0.0666667,V
"Corinthians","Criciúma",0.466667,0.333333,0.466667,0.0666667,V
"Goiás","Flamengo",0.4,0,0.466667,0.4,E
"Paraná","PontePreta",0.8,0.133333,0.533333,0.133333,V
"Santos","Cruzeiro",0.466667,0.466667,0.666667,0.666667,D
"AtléticoMG","SãoPaulo",0.333333,0.6,0.6,0.2,E
"AtléticoPR","Juventude",0.6,0.0666667,0.4,0,V
"Figueirense","SãoCaetano",0.4,0.0666667,0.533333,0.133333,V
"Grêmio","Coritiba",0.6,0.133333,0.4,0.266667,V
"Guarani","Internacional",0.666667,0.0666667,0.666667,0.4,V
"Paysandu","Fluminense",0.466667,0.133333,0.4,0.266667,E
"Vasco","Bahia",0.533333,0.0666667,0.4,0.133333,E
"Vitória","Fortaleza",0.466667,0.266667,0.333333,0.0666667,V
"Juventude","Santos",0.466667,0,0.466667,0.533333,E
"Fluminense","Figueirense",0.6,0.266667,0.4,0.0666667,V
"SãoCaetano","AtléticoMG",0.733333,0.133333,0.333333,0.6,V
"Bahia","Paysandu",0.6,0.133333,0.466667,0.133333,V
"SãoPaulo","Paraná",0.8,0.2,0.8,0.133333,V
"Coritiba","Vasco",0.466667,0.266667,0.533333,0.133333,E
"Criciúma","Vitória",0.533333,0.0666667,0.466667,0.333333,E
"Cruzeiro","Corinthians",0.733333,0.666667,0.466667,0.4,E
"Flamengo","Guarani",0.533333,0.4,0.666667,0.133333,E
"Fortaleza","Goiás",0.533333,0.0666667,0.4,0,V
"Internacional","AtléticoPR",0.733333,0.4,0.6,0.133333,E
"PontePreta","Grêmio",0.733333,0.133333,0.6,0.133333,V
"AtléticoMG","Fluminense",0.533333,0.6,0.6,0.266667,V
"Corinthians","Juventude",0.666667,0.4,0.466667,0,V
"Paraná","SãoCaetano",0.866667,0.133333,0.733333,0.2,E
"Vasco","PontePreta",0.733333,0.133333,0.733333,0.133333,V
"AtléticoPR","Flamengo",0.8,0.133333,0.533333,0.4,V
"Figueirense","Bahia",0.6,0.0666667,0.6,0.133333,V
"Goiás","Criciúma",0.4,0,0.533333,0.266667,D
"Grêmio","SãoPaulo",0.6,0.133333,0.8,0.4,D
"Guarani","Fortaleza",0.866667,0.133333,0.533333,0.0666667,V
"Paysandu","Coritiba",0.466667,0.133333,0.466667,0.466667,D
"Santos","Internacional",0.666667,0.533333,0.733333,0.4,V
"Vitória","Cruzeiro",0.666667,0.333333,0.733333,0.666667,V
"Coritiba","Guarani",0.666667,0.466667,0.866667,0.133333,V
"Cruzeiro","Criciúma",0.866667,0.666667,0.533333,0.266667,V
"Fluminense","AtléticoPR",0.733333,0.266667,0.8,0.133333,V
"Internacional","Paysandu",0.866667,0.4,0.466667,0.0666667,V
"PontePreta","SãoCaetano",0.6,0.133333,0.733333,0.2,E
"Bahia","Goiás",0.8,0.133333,0.4,0,V
"Corinthians","Vitória",0.866667,0.4,0.666667,0.133333,V
"Figueirense","Grêmio",0.733333,0.0666667,0.6,0.133333,V
"Fortaleza","Juventude",0.666667,0.0666667,0.466667,0,V
"Paraná","Flamengo",0.866667,0.133333,0.533333,0.2,V
"Santos","SãoPaulo",0.8,0.533333,0.8,0.333333,V
"Vasco","AtléticoMG",0.6,0.133333,0.533333,0.466667,E
"AtléticoMG","Figueirense",0.533333,0.466667,0.733333,0.0666667,E
"Grêmio","Fortaleza",0.6,0.133333,0.666667,0,V
"Guarani","Santos",0.666667,0.133333,0.8,0.666667,D
"Vitória","Fluminense",0.8,0.133333,0.733333,0.266667,V
"AtléticoPR","PontePreta",0.8,0.133333,0.6,0.0666667,V
"Criciúma","Internacional",0.533333,0.266667,0.866667,0.2,V
"Goiás","Coritiba",0.333333,0,0.666667,0.6,D
"Juventude","Vasco",0.466667,0,0.6,0.2,E
"Paysandu","Paraná",0.666667,0.0666667,0.866667,0.0666667,V
"SãoCaetano","Corinthians",0.733333,0.2,0.866667,0.333333,V
"SãoPaulo","Bahia",0.866667,0.333333,0.8,0.133333,E
"Fluminense","Goiás",0.533333,0.266667,0.333333,0.2,D
"PontePreta","Guarani",0.533333,0.0666667,0.666667,0.333333,D
"Coritiba","AtléticoPR",0.866667,0.6,0.8,0.0666667,V
"Bahia","Vitória",0.8,0.133333,0.8,0.133333,V
"Corinthians","SãoPaulo",0.666667,0.333333,0.866667,0.466667,D
"Criciúma","Figueirense",0.666667,0.266667,0.733333,0.0666667,V
"Cruzeiro","AtléticoMG",0.733333,0.666667,0.533333,0.333333,E
"Fortaleza","Paysandu",0.6,0,0.666667,0.266667,D
"Grêmio","Internacional",0.466667,0.133333,0.866667,0.266667,E
"Paraná","Juventude",0.666667,0.0666667,0.466667,0.2,D
"Santos","SãoCaetano",0.6,0.666667,0.733333,0.333333,D
"Vasco","Flamengo",0.533333,0.2,0.533333,0.333333,D
"Flamengo","Cruzeiro",0.666667,0.333333,0.733333,0.466667,V
"Bahia","Coritiba",0.866667,0.133333,0.866667,0.666667,E
"AtléticoMG","Grêmio",0.533333,0.333333,0.466667,0.0666667,V
"SãoPaulo","Goiás",0.866667,0.466667,0.333333,0.2,V
"Vasco","Criciúma",0.533333,0.2,0.666667,0.2,V
"Internacional","Paraná",0.866667,0.266667,0.666667,0.0666667,V
"Figueirense","Fortaleza",0.733333,0.0666667,0.6,0.0666667,E
"Fluminense","Guarani",0.666667,0.266667,0.666667,0.333333,V
"Juventude","Cruzeiro",0.266667,0.2,0.733333,0.466667,D
"Paysandu","Flamengo",0.533333,0.266667,0.666667,0.333333,E
"PontePreta","Corinthians",0.533333,0.0666667,0.666667,0.333333,E
"SãoCaetano","Vitória",0.866667,0.333333,0.8,0.0666667,V
"Coritiba","SãoCaetano",0.866667,0.666667,0.866667,0.333333,V
"Flamengo","Figueirense",0.466667,0.333333,0.733333,0.266667,D
"Fortaleza","Vasco",0.4,0.0666667,0.533333,0.4,D
"Grêmio","Juventude",0.466667,0.0666667,0.266667,0.4,D
"Santos","Bahia",0.6,0.666667,0.866667,0.133333,V
"Corinthians","Fluminense",0.8,0.333333,0.666667,0.266667,V
"Criciúma","Paysandu",0.666667,0.2,0.533333,0.2,V
"Cruzeiro","Internacional",0.733333,0.466667,0.866667,0.0666667,V
"Guarani","SãoPaulo",0.466667,0.333333,0.866667,0.666667,D
"Paraná","AtléticoMG",0.533333,0.0666667,0.533333,0.2,E
"Vitória","AtléticoPR",0.8,0.0666667,0.8,0.0666667,V
"Vasco","Paraná",0.466667,0.4,0.533333,0.2,D
"SãoPaulo","SãoCaetano",0.733333,0.666667,0.866667,0.4,E
"AtléticoMG","Paysandu",0.733333,0.2,0.533333,0.2,V
"Figueirense","Cruzeiro",0.866667,0.266667,0.733333,0.4,V
"Juventude","Internacional",0.266667,0.4,0.866667,0.133333,E
"Grêmio","Flamengo",0.466667,0.0666667,0.466667,0.266667,V
"Fluminense","Bahia",0.8,0.266667,0.866667,0.133333,V
"Guarani","Goiás",0.6,0.333333,0.333333,0.2,V
"AtléticoPR","Corinthians",1,0.0666667,0.8,0.333333,V
"Fortaleza","Criciúma",0.4,0.0666667,0.666667,0.4,D
"Vitória","PontePreta",0.8,0.0666667,0.533333,0.266667,D
"Santos","Coritiba",0.8,0.666667,0.866667,0.466667,V
"Cruzeiro","Fortaleza",0.733333,0.4,0.4,0.0666667,V
"Bahia","Guarani",0.866667,0.133333,0.6,0.266667,V
"SãoCaetano","AtléticoPR",0.866667,0.4,1,0.133333,E
"Flamengo","Juventude",0.666667,0.266667,0.266667,0.4,V
"Internacional","Vasco",0.866667,0.133333,0.466667,0.4,V
"Goiás","Vitória",0.333333,0.2,0.8,0.133333,E
"Coritiba","SãoPaulo",0.666667,0.466667,0.733333,0.8,D
"Paysandu","Figueirense",0.533333,0.2,0.866667,0.266667,V
"Corinthians","Santos",0.666667,0.333333,0.8,0.733333,E
"Paraná","Grêmio",0.533333,0.2,0.466667,0,V
"PontePreta","Fluminense",0.533333,0.266667,0.8,0.0666667,V
"Criciúma","AtléticoMG",0.866667,0.4,0.733333,0.2,V
"AtléticoPR","Goiás",0.866667,0.133333,0.333333,0.266667,E
"Fortaleza","Internacional",0.4,0.0666667,0.866667,0.133333,V
"Vasco","Paysandu",0.266667,0.4,0.533333,0.4,D
"AtléticoMG","Flamengo",0.866667,0.2,0.666667,0.266667,V
"Corinthians","Coritiba",0.466667,0.333333,0.666667,0.666667,D
"Criciúma","Juventude",1,0.4,0.266667,0.4,V
"Figueirense","Paraná",0.866667,0.266667,0.533333,0.2,V
"Fluminense","SãoPaulo",0.6,0.0666667,0.733333,0.8,D
"Grêmio","Cruzeiro",0.466667,0,0.733333,0.4,D
"PontePreta","Bahia",0.533333,0.266667,0.866667,0.0666667,V
"SãoCaetano","Guarani",0.666667,0.4,0.6,0.4,D
"Vitória","Santos",0.8,0.133333,0.8,0.533333,V
"Bahia","SãoCaetano",0.733333,0.0666667,0.666667,0.4,E
"Coritiba","Fluminense",0.8,0.666667,0.6,0,V
"Cruzeiro","Vasco",0.866667,0.4,0.266667,0.333333,V
"Flamengo","Fortaleza",0.466667,0.266667,0.4,0.266667,D
"Goiás","Corinthians",0.2,0.266667,0.466667,0.2,E
"Guarani","Vitória",0.466667,0.4,0.8,0.133333,E
"Internacional","AtléticoMG",0.733333,0.133333,0.866667,0.266667,E
"Juventude","Figueirense",0.2,0.4,0.866667,0.466667,D
"Santos","PontePreta",0.8,0.533333,0.533333,0.2,V
"Paysandu","Grêmio",0.533333,0.4,0.466667,0.0666667,E
"SãoPaulo","AtléticoPR",0.733333,0.8,0.866667,0.0666667,V
"Corinthians","Guarani",0.466667,0.2,0.466667,0.4,V
"Fluminense","Santos",0.4,0,0.8,0.533333,D
"Fortaleza","AtléticoMG",0.4,0.266667,0.866667,0.2,V
"Internacional","Figueirense",0.866667,0.133333,0.866667,0.4,V
"Juventude","Paysandu",0.333333,0.4,0.533333,0.4,V
"AtléticoPR","Bahia",0.866667,0.0666667,0.733333,0.0666667,V
"Criciúma","Flamengo",1,0.4,0.466667,0.266667,V
"Cruzeiro","Paraná",0.866667,0.4,0.533333,0.2,V
"Goiás","SãoCaetano",0.333333,0.266667,0.666667,0.333333,V
"PontePreta","Coritiba",0.533333,0.2,0.8,0.533333,E
"Vasco","Grêmio",0.4,0.333333,0.466667,0.0666667,V
"Vitória","SãoPaulo",0.6,0.133333,0.733333,1,D
"AtléticoMG","Juventude",0.866667,0.2,0.333333,0.4,V
"Bahia","Corinthians",0.6,0.0666667,0.466667,0.2,E
"Figueirense","Vasco",0.733333,0.4,0.4,0.333333,E
"Guarani","AtléticoPR",0.466667,0.4,0.866667,0.0666667,V
"Paraná","Fortaleza",0.666667,0.2,0.4,0.266667,V
"Paysandu","Cruzeiro",0.733333,0.4,0.866667,0.4,V
"Santos","Goiás",0.666667,0.533333,0.333333,0.333333,E
"Coritiba","Vitória",0.666667,0.533333,0.6,0.2,E
"Flamengo","Internacional",0.6,0.266667,0.866667,0.133333,V
"Grêmio","Criciúma",0.266667,0.0666667,1,0.6,D
"SãoCaetano","Fluminense",0.666667,0.333333,0.4,0,V
"SãoPaulo","PontePreta",0.533333,1,0.533333,0.4,D
"AtléticoPR","Paysandu",0.733333,0.0666667,0.733333,0.266667,E
"Goiás","AtléticoMG",0.4,0.333333,0.866667,0.2,E
"Santos","Vasco",0.866667,0.533333,0.4,0.266667,V
"Corinthians","Grêmio",0.666667,0.2,0.266667,0.0666667,V
"Criciúma","Coritiba",0.8,0.6,0.666667,0.533333,D
"Cruzeiro","Bahia",1,0.4,0.6,0,V
"Flamengo","SãoPaulo",0.466667,0.266667,0.533333,0.866667,E
"Fortaleza","PontePreta",0.4,0.266667,0.533333,0.6,D
"Guarani","Figueirense",0.666667,0.4,0.733333,0.4,V
"Internacional","SãoCaetano",0.733333,0.133333,0.666667,0.2,E
"Juventude","Fluminense",0.466667,0.4,0.4,0,V
"Vitória","Paraná",0.4,0.2,0.666667,0.4,D
"AtléticoPR","Santos",0.533333,0.0666667,0.866667,0.666667,D
"Goiás","PontePreta",0.466667,0.333333,0.533333,0.666667,E
"Paraná","Criciúma",0.666667,0.4,0.8,0.4,V
"Fluminense","Cruzeiro",0.466667,0,1,0.466667,E
"Grêmio","Santos",0.4,0.0666667,0.866667,0.466667,V
"SãoCaetano","Juventude",0.533333,0.2,0.466667,0.266667,E
"SãoPaulo","Internacional",0.466667,0.866667,0.733333,0.266667,D
"AtléticoMG","Vitória",1,0.2,0.4,0.2,V
"Bahia","Criciúma",0.466667,0,0.8,0.466667,E
"Coritiba","Fortaleza",0.533333,0.533333,0.4,0.333333,E
"Figueirense","Goiás",0.533333,0.4,0.466667,0.333333,D
"Paraná","Corinthians",0.733333,0.4,0.666667,0.266667,E
"Paysandu","Guarani",0.733333,0.266667,0.666667,0.2,V
"PontePreta","Flamengo",0.6,0.666667,0.466667,0.133333,E
"Vasco","AtléticoPR",0.6,0.266667,0.533333,0.0666667,V
"AtléticoPR","Paraná",0.533333,0.0666667,0.733333,0.4,V
"Criciúma","SãoCaetano",0.6,0.466667,0.533333,0.4,D
"Cruzeiro","SãoPaulo",0.866667,0.466667,0.466667,0.733333,E
"Fortaleza","Fluminense",0.6,0.333333,0.466667,0,V
"Goiás","Vasco",0.6,0.333333,0.6,0.0666667,V
"Juventude","PontePreta",0.533333,0.266667,0.6,0.533333,E
"Santos","AtléticoMG",0.733333,0.466667,1,0.2,E
"Vitória","Paysandu",0.266667,0.2,0.733333,0.333333,E
"Corinthians","Figueirense",0.466667,0.266667,0.533333,0.4,D
"Flamengo","Bahia",0.666667,0.133333,0.466667,0,V
"Guarani","Grêmio",0.866667,0.2,0.4,0.0666667,V
"Internacional","Coritiba",0.733333,0.266667,0.533333,0.466667,V
"Fluminense","Criciúma",0.333333,0,0.6,0.533333,E
"Paraná","Santos",0.666667,0.4,0.733333,0.6,D
"SãoCaetano","Cruzeiro",0.533333,0.4,0.866667,0.266667,V
"SãoPaulo","Juventude",0.466667,0.733333,0.533333,0.0666667,V
"AtléticoMG","Corinthians",0.8,0.2,0.466667,0.4,D
"Bahia","Fortaleza",0.6,0,0.6,0.266667,V
"Coritiba","Flamengo",0.533333,0.466667,0.666667,0.0666667,V
"Figueirense","Vitória",0.466667,0.4,0.266667,0.4,D
"Grêmio","AtléticoPR",0.466667,0.0666667,0.533333,0.133333,E
"Paysandu","Goiás",0.733333,0.333333,0.6,0.4,E
"PontePreta","Internacional",0.533333,0.533333,0.733333,0.466667,D
"Vasco","Guarani",0.466667,0.0666667,0.866667,0.266667,E
"AtléticoMG","AtléticoPR",0.6,0.2,0.533333,0.266667,D
"Bahia","Internacional",0.4,0,0.733333,0.6,D
"Coritiba","Juventude",0.733333,0.466667,0.533333,0.0666667,V
"Figueirense","Santos",0.466667,0.4,0.733333,0.6,V
"SãoPaulo","Criciúma",0.466667,0.733333,0.6,0.4,E
"Vasco","Vitória",0.666667,0.0666667,0.266667,0.333333,V
"Fluminense","Flamengo",0.133333,0,0.666667,0.266667,D
"Grêmio","Goiás",0.266667,0.0666667,0.6,0.6,D
"Paraná","Guarani",0.533333,0.4,0.866667,0.333333,E
"Paysandu","Corinthians",0.6,0.333333,0.466667,0.466667,E
"PontePreta","Cruzeiro",0.333333,0.533333,0.866667,0.466667,D
"SãoCaetano","Fortaleza",0.666667,0.4,0.6,0.266667,V
"AtléticoPR","Figueirense",0.466667,0.266667,0.466667,0.6,D
"Corinthians","Vasco",0.466667,0.466667,0.666667,0.133333,E
"Cruzeiro","Coritiba",0.733333,0.466667,0.733333,0.533333,E
"Flamengo","SãoCaetano",0.666667,0.266667,0.666667,0.333333,V
"Fortaleza","SãoPaulo",0.6,0.266667,0.466667,0.733333,D
"Goiás","Paraná",0.733333,0.6,0.533333,0.2,V
"Juventude","Bahia",0.666667,0.0666667,0.4,0,V
"Santos","Paysandu",0.733333,0.6,0.6,0.333333,V
"Vitória","Grêmio",0.466667,0.333333,0.266667,0.0666667,V
"Guarani","AtléticoMG",0.733333,0.333333,0.6,0.266667,E
"Criciúma","PontePreta",0.6,0.4,0.333333,0.533333,V
"Internacional","Fluminense",0.533333,0.6,0.133333,0.2,D
"AtléticoPR","Fortaleza",0.466667,0.266667,0.6,0.0666667,V
"Goiás","Cruzeiro",0.733333,0.6,0.733333,0.266667,V
"Grêmio","SãoCaetano",0.333333,0.0666667,0.666667,0.333333,E
"Santos","Flamengo",0.733333,0.6,0.666667,0.266667,V
"AtléticoMG","Bahia",0.6,0.266667,0.4,0,V
"Corinthians","Internacional",0.666667,0.466667,0.533333,0.6,V
"Figueirense","Coritiba",0.266667,0.6,0.733333,0.533333,D
"Guarani","Criciúma",0.866667,0.333333,0.6,0.2,V
"Paraná","Fluminense",0.533333,0.2,0.133333,0.2,V
"Paysandu","PontePreta",0.733333,0.333333,0.333333,0.333333,V
"Vasco","SãoPaulo",0.866667,0.133333,0.466667,0.533333,V
"Vitória","Juventude",0.466667,0.333333,0.666667,0.0666667,V
"Cruzeiro","Guarani",0.733333,0.266667,0.866667,0.133333,V
"Fluminense","Grêmio",0.333333,0.2,0.333333,0,V
"Fortaleza","Santos",0.466667,0.0666667,0.733333,0.466667,E
"Internacional","Vitória",0.466667,0.6,0.466667,0.466667,D
"SãoPaulo","Paysandu",0.466667,0.533333,0.733333,0.133333,V
"Bahia","Paraná",0.533333,0,0.533333,0.2,V
"Coritiba","AtléticoMG",0.6,0.533333,0.6,0.266667,E
"Criciúma","AtléticoPR",0.6,0.2,0.466667,0.266667,V
"Flamengo","Corinthians",0.866667,0.266667,0.666667,0.4,V
"Juventude","Goiás",0.666667,0.0666667,0.733333,0.733333,D
"PontePreta","Figueirense",0.2,0.333333,0.266667,0.466667,E
"SãoCaetano","Vasco",0.866667,0.333333,0.866667,0.133333,V
"AtléticoPR","Cruzeiro",0.4,0.266667,0.733333,0.466667,D
"Corinthians","Fortaleza",0.666667,0.4,0.466667,0.0666667,V
"Grêmio","Bahia",0.4,0,0.533333,0.0666667,E
"Santos","Criciúma",0.866667,0.466667,0.6,0.2,V
"AtléticoMG","PontePreta",0.6,0.266667,0.2,0.133333,V
"Figueirense","SãoPaulo",0.266667,0.466667,0.466667,0.4,E
"Goiás","Internacional",0.866667,0.733333,0.466667,0.6,V
"Guarani","Juventude",0.866667,0.133333,0.666667,0.0666667,V
"Paraná","Coritiba",0.333333,0.2,0.6,0.666667,D
"Paysandu","SãoCaetano",0.733333,0.133333,0.866667,0.333333,V
"Vasco","Fluminense",0.866667,0.133333,0.333333,0.2,V
"Vitória","Flamengo",0.666667,0.466667,0.866667,0.266667,V
"Coritiba","Grêmio",0.733333,0.666667,0.4,0,V
"Cruzeiro","Santos",0.733333,0.466667,0.866667,0.266667,V
"PontePreta","Paraná",0.333333,0.133333,0.333333,0.2,V
"Fluminense","Paysandu",0.4,0.2,0.733333,0.2,E
"Internacional","Guarani",0.466667,0.6,0.866667,0.133333,V
"Bahia","Vasco",0.666667,0.0666667,0.866667,0.0666667,V
"Criciúma","Corinthians",0.6,0.2,0.666667,0.333333,V
"Flamengo","Goiás",0.733333,0.266667,0.866667,0.733333,E
"Fortaleza","Vitória",0.466667,0.0666667,0.666667,0.4,V
"Juventude","AtléticoPR",0.666667,0.0666667,0.4,0.266667,V
"SãoCaetano","Figueirense",0.666667,0.333333,0.266667,0.666667,D
"SãoPaulo","AtléticoMG",0.533333,0.4,0.6,0.333333,E
"Goiás","Fortaleza",0.8,0.733333,0.466667,0.2,D
"Paysandu","Bahia",0.733333,0.2,0.666667,0.0666667,V
"Vitória","Criciúma",0.733333,0.4,0.6,0.2,E
"Grêmio","PontePreta",0.266667,0,0.333333,0.133333,E
"AtléticoPR","Internacional",0.6,0.266667,0.466667,0.4,V
"Santos","Juventude",0.733333,0.266667,0.666667,0.0666667,E
"Guarani","Flamengo",0.866667,0.133333,0.733333,0.2,V
"Paraná","SãoPaulo",0.466667,0.2,0.533333,0.333333,V
"Corinthians","Cruzeiro",0.466667,0.333333,0.733333,0.6,D
"AtléticoMG","SãoCaetano",0.6,0.333333,0.666667,0.266667,V
"Figueirense","Fluminense",0.333333,0.666667,0.4,0.266667,E
"Vasco","Coritiba",0.866667,0.0666667,0.733333,0.466667,V
"Flamengo","AtléticoPR",0.866667,0.2,0.6,0.266667,V
"Internacional","Santos",0.6,0.4,0.733333,0.266667,V
"SãoPaulo","Grêmio",0.733333,0.333333,0.266667,0,V
"Bahia","Figueirense",0.666667,0.0666667,0.333333,0.733333,E
"Coritiba","Paysandu",0.866667,0.466667,0.733333,0.133333,V
"Criciúma","Goiás",0.8,0.2,0.8,0.533333,V
"Cruzeiro","Vitória",0.733333,0.6,0.733333,0.4,V
"Fluminense","AtléticoMG",0.333333,0.266667,0.6,0.466667,D
"Fortaleza","Guarani",0.666667,0.2,0.866667,0.133333,V
"Juventude","Corinthians",0.666667,0.0666667,0.466667,0.266667,V
"PontePreta","Vasco",0.333333,0.133333,0.866667,0.133333,E
"SãoCaetano","Paraná",0.8,0.266667,0.466667,0,V
"AtléticoPR","Fluminense",0.466667,0.266667,0.333333,0.333333,E
"Paysandu","Internacional",0.733333,0.133333,0.6,0.266667,E
"Grêmio","Figueirense",0.4,0,0.333333,0.533333,V
"SãoCaetano","PontePreta",0.8,0.266667,0.333333,0.0666667,V
"SãoPaulo","Santos",0.533333,0.333333,0.733333,0.266667,D
"Vitória","Corinthians",0.666667,0.4,0.466667,0.266667,D
"Flamengo","Paraná",0.666667,0.2,0.466667,0.2,D
"Goiás","Bahia",0.8,0.533333,0.666667,0.0666667,V
"AtléticoMG","Vasco",0.8,0.466667,0.866667,0.133333,V
"Juventude","Fortaleza",0.666667,0.0666667,0.666667,0.266667,E
"Criciúma","Cruzeiro",0.8,0.2,0.733333,0.8,D
"Guarani","Coritiba",0.866667,0.133333,0.866667,0.466667,V
"Cruzeiro","Flamengo",0.866667,0.8,0.666667,0.2,V
"Coritiba","Goiás",0.866667,0.466667,0.8,0.466667,V
"Bahia","SãoPaulo",0.666667,0.0666667,0.533333,0.266667,V
"Santos","Guarani",0.733333,0.266667,0.866667,0.133333,E
"PontePreta","AtléticoPR",0.4,0.0666667,0.466667,0.266667,E
"Fortaleza","Grêmio",0.533333,0.266667,0.4,0.0666667,E
"Vasco","Juventude",0.866667,0.133333,0.666667,0.133333,E
"Corinthians","SãoCaetano",0.466667,0.266667,0.8,0.266667,D
"Fluminense","Vitória",0.466667,0.333333,0.666667,0.2,V
"Paraná","Paysandu",0.666667,0.2,0.733333,0.0666667,V
"Figueirense","AtléticoMG",0.333333,0.533333,0.8,0.6,D
"Internacional","Criciúma",0.6,0.266667,0.8,0.133333,V
"SãoCaetano","Santos",0.666667,0.266667,0.733333,0.333333,E
"AtléticoPR","Coritiba",0.666667,0.266667,0.866667,0.4,V
"Guarani","PontePreta",0.8,0.133333,0.4,0.266667,D
"Vitória","Bahia",0.666667,0.2,0.666667,0.0666667,V
"Flamengo","Vasco",0.666667,0.2,0.866667,0.0666667,V
"Goiás","Fluminense",0.8,0.466667,0.466667,0.133333,V
"SãoPaulo","Corinthians",0.666667,0.266667,0.466667,0.2,V
"AtléticoMG","Cruzeiro",0.8,0.6,0.866667,0.8,D
"Internacional","Grêmio",0.6,0.266667,0.4,0.266667,D
"Juventude","Paraná",0.533333,0.133333,0.666667,0.266667,E
"Figueirense","Criciúma",0.333333,0.533333,0.8,0.0666667,V
"Paysandu","Fortaleza",0.866667,0.0666667,0.533333,0.266667,V
"Coritiba","Bahia",0.866667,0.4,0.666667,0.0666667,V
"Grêmio","AtléticoMG",0.466667,0.266667,0.8,0.6,E
"Flamengo","Paysandu",0.666667,0.2,0.866667,0.0666667,V
"Goiás","SãoPaulo",0.8,0.466667,0.666667,0.0666667,V
"Guarani","Fluminense",0.8,0.133333,0.466667,0.133333,V
"Corinthians","PontePreta",0.6,0.2,0.4,0.266667,V
"Santos","AtléticoPR",0.733333,0.333333,0.666667,0.0666667,V
"Paraná","Internacional",0.8,0.266667,0.6,0.0666667,V
"Criciúma","Vasco",0.8,0.0666667,0.866667,0.0666667,V
"Fortaleza","Figueirense",0.6,0.266667,0.333333,0.4,E
"Vitória","SãoCaetano",0.533333,0.2,0.666667,0.333333,E
"Cruzeiro","Juventude",0.8,0.8,0.533333,0.333333,D
"SãoCaetano","Coritiba",0.666667,0.333333,0.866667,0.2,V
"Figueirense","Flamengo",0.4,0.4,0.666667,0.0666667,E
"Fluminense","Corinthians",0.666667,0.133333,0.6,0.2,V
"PontePreta","Goiás",0.4,0.266667,0.8,0.466667,D
"Bahia","Santos",0.666667,0.0666667,0.733333,0.466667,D
"AtléticoPR","Vitória",0.466667,0.0666667,0.533333,0.4,D
"Internacional","Cruzeiro",0.8,0.0666667,0.8,0.8,V
"Paysandu","Criciúma",0.866667,0.0666667,0.8,0.0666667,V
"AtléticoMG","Paraná",0.666667,0.6,0.8,0.333333,E
"Juventude","Grêmio",0.533333,0.333333,0.466667,0.466667,D
"Vasco","Fortaleza",0.733333,0.0666667,0.6,0.333333,E
"SãoPaulo","Guarani",0.533333,0.0666667,0.8,0.133333,E
"Bahia","Fluminense",0.533333,0.0666667,0.666667,0.2,E
"Cruzeiro","Figueirense",0.8,0.8,0.4,0.333333,V
"Coritiba","Santos",0.8,0.2,0.733333,0.666667,D
"PontePreta","Vitória",0.4,0.266667,0.533333,0.266667,E
"Paysandu","AtléticoMG",0.866667,0.0666667,0.666667,0.533333,V
"Paraná","Vasco",0.666667,0.333333,0.733333,0.133333,E
"Flamengo","Grêmio",0.8,0.0666667,0.466667,0.466667,V
"Corinthians","AtléticoPR",0.4,0.2,0.466667,0.266667,D
"SãoCaetano","SãoPaulo",0.666667,0.333333,0.533333,0.266667,D
"Criciúma","Fortaleza",0.666667,0.0666667,0.6,0.4,E
"Internacional","Juventude",0.666667,0.0666667,0.533333,0.4,E
"Goiás","Guarani",0.8,0.466667,0.8,0.133333,V
"Guarani","Bahia",0.8,0.133333,0.533333,0,V
"AtléticoPR","SãoCaetano",0.666667,0.266667,0.666667,0.266667,V
"Grêmio","Paraná",0.4,0.466667,0.666667,0.533333,D
"Fluminense","PontePreta",0.533333,0.2,0.4,0.333333,E
"AtléticoMG","Criciúma",0.533333,0.533333,0.666667,0.133333,E
"SãoPaulo","Coritiba",0.666667,0.266667,0.8,0,V
"Fortaleza","Cruzeiro",0.533333,0.4,0.8,0.8,D
"Vasco","Internacional",0.533333,0.133333,0.666667,0.266667,D
"Figueirense","Paysandu",0.533333,0.333333,0.866667,0.0666667,V
"Vitória","Goiás",0.333333,0.266667,0.8,0.466667,D
"Santos","Corinthians",0.733333,0.666667,0.4,0.2,V
"Juventude","Flamengo",0.4,0.4,0.8,0.133333,E
"Paysandu","Vasco",0.666667,0.0666667,0.533333,0.266667,D
"Juventude","Criciúma",0.4,0.4,0.666667,0.0666667,V
"SãoPaulo","Fluminense",0.666667,0.266667,0.533333,0.133333,V
"Coritiba","Corinthians",0.8,0,0.4,0.2,V
"Santos","Vitória",0.733333,0.666667,0.333333,0.266667,V
"Cruzeiro","Grêmio",0.8,0.8,0.4,0.466667,V
"Internacional","Fortaleza",0.533333,0.266667,0.533333,0.266667,E
"Paraná","Figueirense",0.733333,0.533333,0.533333,0.2,E
