time1,time2,result
"Grêmio","AtléticoPR",V
"Palmeiras","BotafogoRJ",V
"Paysandu","Goiás",D
"Fluminense","Vasco",V
"Paraná","Juventude",V
"SãoPaulo","PontePreta",V
"Flamengo","BotafogoRJ",V
"Guarani","Santos",D
"Internacional","Coritiba",D
"AtléticoPR","AtléticoMG",E
"Corinthians","Fluminense",D
"Cruzeiro","Grêmio",V
"Goiás","Paraná",V
"Paysandu","Figueirense",V
"PontePreta","Portuguesa",E
"SãoCaetano","Juventude",V
"Vasco","Palmeiras",V
"Vitória","Bahia",V
"AtléticoPR","Paysandu",V
"Figueirense","Grêmio",D
"Fluminense","Palmeiras",D
"Gama","Cruzeiro",D
"SãoCaetano","Internacional",E
"SãoPaulo","Vasco",V
"Vitória","Guarani",V
"AtléticoMG","Coritiba",V
"Corinthians","Portuguesa",V
"Paraná","BotafogoRJ",V
"Cruzeiro","AtléticoPR",V
"Grêmio","SãoCaetano",E
"Paysandu","Fluminense",V
"Santos","PontePreta",D
"Vasco","Vitória",V
"BotafogoRJ","Corinthians",V
"Coritiba","Paraná",V
"Goiás","AtléticoMG",V
"Guarani","Bahia",E
"Juventude","Internacional",V
"Portuguesa","Flamengo",D
"AtléticoMG","Gama",V
"Bahia","Corinthians",E
"Coritiba","Figueirense",D
"Internacional","Cruzeiro",D
"Juventude","Paysandu",E
"Palmeiras","Flamengo",E
"Vasco","PontePreta",V
"Fluminense","Portuguesa",V
"Guarani","BotafogoRJ",V
"Paraná","Grêmio",E
"SãoPaulo","Vitória",V
"AtléticoPR","Juventude",V
"BotafogoRJ","SãoPaulo",D
"Corinthians","Vasco",E
"Cruzeiro","Goiás",V
"Figueirense","Paraná",E
"Flamengo","Guarani",E
"Gama","Coritiba",V
"Grêmio","AtléticoMG",V
"Paysandu","Internacional",D
"PontePreta","Fluminense",D
"Portuguesa","Bahia",D
"SãoCaetano","Santos",V
"Vitória","Palmeiras",V
"Santos","SãoPaulo",V
"Fluminense","SãoCaetano",V
"AtléticoMG","Corinthians",D
"Grêmio","Juventude",E
"SãoCaetano","Fluminense",V
"Corinthians","AtléticoMG",V
"Juventude","Grêmio",D
"SãoPaulo","Santos",D
"Santos","Grêmio",V
"Fluminense","Corinthians",V
"Grêmio","Santos",V
"Corinthians","Fluminense",V
"Santos","Corinthians",V
"AtléticoPR","Grêmio",V
"Guarani","Vasco",V
"Corinthians","AtléticoMG",D
"Goiás","Paysandu",E
"Criciúma","Fluminense",V
"Cruzeiro","SãoCaetano",E
"Flamengo","Coritiba",E
"Fortaleza","Bahia",E
"Internacional","PontePreta",E
"Juventude","SãoPaulo",E
"Santos","Paraná",E
"Vitória","Figueirense",E
"Fluminense","Fortaleza",E
"AtléticoMG","Santos",E
"Grêmio","Guarani",V
"Coritiba","Internacional",D
"Bahia","Flamengo",D
"Vasco","Goiás",V
"Figueirense","Corinthians",E
"SãoPaulo","Cruzeiro",D
"Paysandu","Vitória",D
"PontePreta","Juventude",V
"Paraná","AtléticoPR",V
"SãoCaetano","Criciúma",V
"Paysandu","Santos",V
"Internacional","Bahia",V
"AtléticoPR","AtléticoMG",D
"Corinthians","Paysandu",V
"Santos","Figueirense",V
"Cruzeiro","PontePreta",V
"Vitória","Vasco",V
"Flamengo","Fluminense",V
"Criciúma","SãoPaulo",E
"Fortaleza","SãoCaetano",E
"Juventude","Coritiba",V
"Guarani","Paraná",V
"Goiás","Grêmio",E
"SãoCaetano","Flamengo",E
"Vasco","Corinthians",E
"Bahia","Juventude",V
"Grêmio","Vitória",V
"Coritiba","Cruzeiro",D
"AtléticoMG","Guarani",V
"Figueirense","AtléticoPR",E
"PontePreta","Criciúma",E
"Fluminense","Internacional",V
"Paraná","Goiás",V
"SãoPaulo","Fortaleza",V
"Flamengo","Santos",D
"Bahia","AtléticoMG",D
"SãoCaetano","Grêmio",E
"SãoPaulo","Vasco",V
"Fluminense","Paraná",E
"Cruzeiro","Goiás",V
"Internacional","Corinthians",V
"PontePreta","Paysandu",E
"Fortaleza","AtléticoPR",V
"Juventude","Vitória",E
"Criciúma","Guarani",V
"Coritiba","Figueirense",V
"AtléticoMG","Coritiba",D
"Paraná","Bahia",V
"Guarani","Cruzeiro",E
"Vitória","Internacional",D
"Grêmio","Fluminense",D
"Corinthians","Flamengo",E
"Vasco","SãoCaetano",V
"Goiás","Juventude",V
"Paysandu","SãoPaulo",V
"Santos","Fortaleza",V
"AtléticoPR","Criciúma",V
"Figueirense","PontePreta",E
"Bahia","Grêmio",V
"Cruzeiro","AtléticoPR",V
"Flamengo","Vitória",V
"Coritiba","Paraná",V
"Criciúma","Santos",D
"Fluminense","Vasco",E
"Fortaleza","Corinthians",D
"Internacional","Goiás",V
"Juventude","Guarani",E
"PontePreta","AtléticoMG",V
"SãoCaetano","Paysandu",V
"SãoPaulo","Figueirense",V
"Corinthians","Criciúma",V
"Goiás","Flamengo",E
"Paraná","PontePreta",V
"Santos","Cruzeiro",D
"AtléticoMG","SãoPaulo",E
"AtléticoPR","Juventude",V
"Figueirense","SãoCaetano",V
"Grêmio","Coritiba",V
"Guarani","Internacional",V
"Paysandu","Fluminense",E
"Vasco","Bahia",E
"Vitória","Fortaleza",V
"Juventude","Santos",E
"Fluminense","Figueirense",V
"SãoCaetano","AtléticoMG",V
"Bahia","Paysandu",V
"SãoPaulo","Paraná",V
"Coritiba","Vasco",E
"Criciúma","Vitória",E
"Cruzeiro","Corinthians",E
"Flamengo","Guarani",E
"Fortaleza","Goiás",V
"Internacional","AtléticoPR",E
"PontePreta","Grêmio",V
"AtléticoMG","Fluminense",V
"Corinthians","Juventude",V
"Paraná","SãoCaetano",E
"Vasco","PontePreta",V
"AtléticoPR","Flamengo",V
"Figueirense","Bahia",V
"Goiás","Criciúma",D
"Grêmio","SãoPaulo",D
"Guarani","Fortaleza",V
"Paysandu","Coritiba",D
"Santos","Internacional",V
"Vitória","Cruzeiro",V
"Coritiba","Guarani",V
"Cruzeiro","Criciúma",V
"Fluminense","AtléticoPR",V
"Internacional","Paysandu",V
"PontePreta","SãoCaetano",E
"Bahia","Goiás",V
"Corinthians","Vitória",V
"Figueirense","Grêmio",V
"Fortaleza","Juventude",V
"Paraná","Flamengo",V
"Santos","SãoPaulo",V
"Vasco","AtléticoMG",E
"AtléticoMG","Figueirense",E
"Grêmio","Fortaleza",V
"Guarani","Santos",D
"Vitória","Fluminense",V
"AtléticoPR","PontePreta",V
"Criciúma","Internacional",V
"Goiás","Coritiba",D
"Juventude","Vasco",E
"Paysandu","Paraná",V
"SãoCaetano","Corinthians",V
"SãoPaulo","Bahia",E
"Fluminense","Goiás",D
"PontePreta","Guarani",D
"Coritiba","AtléticoPR",V
"Bahia","Vitória",V
"Corinthians","SãoPaulo",D
"Criciúma","Figueirense",V
"Cruzeiro","AtléticoMG",E
"Fortaleza","Paysandu",D
"Grêmio","Internacional",E
"Paraná","Juventude",D
"Santos","SãoCaetano",D
"Vasco","Flamengo",D
"Flamengo","Cruzeiro",V
"Bahia","Coritiba",E
"AtléticoMG","Grêmio",V
"SãoPaulo","Goiás",V
"Vasco","Criciúma",V
"Internacional","Paraná",V
"Figueirense","Fortaleza",E
"Fluminense","Guarani",V
"Juventude","Cruzeiro",D
"Paysandu","Flamengo",E
"PontePreta","Corinthians",E
"SãoCaetano","Vitória",V
"Coritiba","SãoCaetano",V
"Flamengo","Figueirense",D
"Fortaleza","Vasco",D
"Grêmio","Juventude",D
"Santos","Bahia",V
"Corinthians","Fluminense",V
"Criciúma","Paysandu",V
"Cruzeiro","Internacional",V
"Guarani","SãoPaulo",D
"Paraná","AtléticoMG",E
"Vitória","AtléticoPR",V
"Vasco","Paraná",D
"SãoPaulo","SãoCaetano",E
"AtléticoMG","Paysandu",V
"Figueirense","Cruzeiro",V
"Juventude","Internacional",E
"Grêmio","Flamengo",V
"Fluminense","Bahia",V
"Guarani","Goiás",V
"AtléticoPR","Corinthians",V
"Fortaleza","Criciúma",D
"Vitória","PontePreta",D
"Santos","Coritiba",V
"Cruzeiro","Fortaleza",V
"Bahia","Guarani",V
"SãoCaetano","AtléticoPR",E
"Flamengo","Juventude",V
"Internacional","Vasco",V
"Goiás","Vitória",E
"Coritiba","SãoPaulo",D
"Paysandu","Figueirense",V
"Corinthians","Santos",E
"Paraná","Grêmio",V
"PontePreta","Fluminense",V
"Criciúma","AtléticoMG",V
"AtléticoPR","Goiás",E
"Fortaleza","Internacional",V
"Vasco","Paysandu",D
"AtléticoMG","Flamengo",V
"Corinthians","Coritiba",D
"Criciúma","Juventude",V
"Figueirense","Paraná",V
"Fluminense","SãoPaulo",D
"Grêmio","Cruzeiro",D
"PontePreta","Bahia",V
"SãoCaetano","Guarani",D
"Vitória","Santos",V
"Bahia","SãoCaetano",E
"Coritiba","Fluminense",V
"Cruzeiro","Vasco",V
"Flamengo","Fortaleza",D
"Goiás","Corinthians",E
"Guarani","Vitória",E
"Internacional","AtléticoMG",E
"Juventude","Figueirense",D
"Santos","PontePreta",V
"Paysandu","Grêmio",E
"SãoPaulo","AtléticoPR",V
"Corinthians","Guarani",V
"Fluminense","Santos",D
"Fortaleza","AtléticoMG",V
"Internacional","Figueirense",V
"Juventude","Paysandu",V
"AtléticoPR","Bahia",V
"Criciúma","Flamengo",V
"Cruzeiro","Paraná",V
"Goiás","SãoCaetano",V
"PontePreta","Coritiba",E
"Vasco","Grêmio",V
"Vitória","SãoPaulo",D
"AtléticoMG","Juventude",V
"Bahia","Corinthians",E
"Figueirense","Vasco",E
"Guarani","AtléticoPR",V
"Paraná","Fortaleza",V
"Paysandu","Cruzeiro",V
"Santos","Goiás",E
"Coritiba","Vitória",E
"Flamengo","Internacional",V
"Grêmio","Criciúma",D
"SãoCaetano","Fluminense",V
"SãoPaulo","PontePreta",D
"AtléticoPR","Paysandu",E
"Goiás","AtléticoMG",E
"Santos","Vasco",V
"Corinthians","Grêmio",V
"Criciúma","Coritiba",D
"Cruzeiro","Bahia",V
"Flamengo","SãoPaulo",E
"Fortaleza","PontePreta",D
"Guarani","Figueirense",V
"Internacional","SãoCaetano",E
"Juventude","Fluminense",V
"Vitória","Paraná",D
"AtléticoPR","Santos",D
"Goiás","PontePreta",E
"Paraná","Criciúma",V
"Fluminense","Cruzeiro",E
"Grêmio","Santos",V
"SãoCaetano","Juventude",E
"SãoPaulo","Internacional",D
"AtléticoMG","Vitória",V
"Bahia","Criciúma",E
"Coritiba","Fortaleza",E
"Figueirense","Goiás",D
"Paraná","Corinthians",E
"Paysandu","Guarani",V
"PontePreta","Flamengo",E
"Vasco","AtléticoPR",V
"AtléticoPR","Paraná",V
"Criciúma","SãoCaetano",D
"Cruzeiro","SãoPaulo",E
"Fortaleza","Fluminense",V
"Goiás","Vasco",V
"Juventude","PontePreta",E
"Santos","AtléticoMG",E
"Vitória","Paysandu",E
"Corinthians","Figueirense",D
"Flamengo","Bahia",V
"Guarani","Grêmio",V
"Internacional","Coritiba",V
"Fluminense","Criciúma",E
"Paraná","Santos",D
"SãoCaetano","Cruzeiro",V
"SãoPaulo","Juventude",V
"AtléticoMG","Corinthians",D
"Bahia","Fortaleza",V
"Coritiba","Flamengo",V
"Figueirense","Vitória",D
"Grêmio","AtléticoPR",E
"Paysandu","Goiás",E
"PontePreta","Internacional",D
"Vasco","Guarani",E
"AtléticoMG","AtléticoPR",D
"Bahia","Internacional",D
"Coritiba","Juventude",V
"Figueirense","Santos",V
"SãoPaulo","Criciúma",E
"Vasco","Vitória",V
"Fluminense","Flamengo",D
"Grêmio","Goiás",D
"Paraná","Guarani",E
"Paysandu","Corinthians",E
"PontePreta","Cruzeiro",D
"SãoCaetano","Fortaleza",V
"AtléticoPR","Figueirense",D
"Corinthians","Vasco",E
"Cruzeiro","Coritiba",E
"Flamengo","SãoCaetano",V
"Fortaleza","SãoPaulo",D
"Goiás","Paraná",V
"Juventude","Bahia",V
"Santos","Paysandu",V
"Vitória","Grêmio",V
"Guarani","AtléticoMG",E
"Criciúma","PontePreta",V
"Internacional","Fluminense",D
"AtléticoPR","Fortaleza",V
"Goiás","Cruzeiro",V
"Grêmio","SãoCaetano",E
"Santos","Flamengo",V
"AtléticoMG","Bahia",V
"Corinthians","Internacional",V
"Figueirense","Coritiba",D
"Guarani","Criciúma",V
"Paraná","Fluminense",V
"Paysandu","PontePreta",V
"Vasco","SãoPaulo",V
"Vitória","Juventude",V
"Cruzeiro","Guarani",V
"Fluminense","Grêmio",V
"Fortaleza","Santos",E
"Internacional","Vitória",D
"SãoPaulo","Paysandu",V
"Bahia","Paraná",V
"Coritiba","AtléticoMG",E
"Criciúma","AtléticoPR",V
"Flamengo","Corinthians",V
"Juventude","Goiás",D
"PontePreta","Figueirense",E
"SãoCaetano","Vasco",V
"AtléticoPR","Cruzeiro",D
"Corinthians","Fortaleza",V
"Grêmio","Bahia",E
"Santos","Criciúma",V
"AtléticoMG","PontePreta",V
"Figueirense","SãoPaulo",E
"Goiás","Internacional",V
"Guarani","Juventude",V
"Paraná","Coritiba",D
"Paysandu","SãoCaetano",V
"Vasco","Fluminense",V
"Vitória","Flamengo",V
"Coritiba","Grêmio",V
"Cruzeiro","Santos",V
"PontePreta","Paraná",V
"Fluminense","Paysandu",E
"Internacional","Guarani",V
"Bahia","Vasco",V
"Criciúma","Corinthians",V
"Flamengo","Goiás",E
"Fortaleza","Vitória",V
"Juventude","AtléticoPR",V
"SãoCaetano","Figueirense",D
"SãoPaulo","AtléticoMG",E
"Goiás","Fortaleza",D
"Paysandu","Bahia",V
"Vitória","Criciúma",E
"Grêmio","PontePreta",E
"AtléticoPR","Internacional",V
"Santos","Juventude",E
"Guarani","Flamengo",V
"Paraná","SãoPaulo",V
"Corinthians","Cruzeiro",D
"AtléticoMG","SãoCaetano",V
"Figueirense","Fluminense",E
"Vasco","Coritiba",V
"Flamengo","AtléticoPR",V
"Internacional","Santos",V
"SãoPaulo","Grêmio",V
"Bahia","Figueirense",E
"Coritiba","Paysandu",V
"Criciúma","Goiás",V
"Cruzeiro","Vitória",V
"Fluminense","AtléticoMG",D
"Fortaleza","Guarani",V
"Juventude","Corinthians",V
"PontePreta","Vasco",E
"SãoCaetano","Paraná",V
"AtléticoPR","Fluminense",E
"Paysandu","Internacional",E
"Grêmio","Figueirense",V
"SãoCaetano","PontePreta",V
"SãoPaulo","Santos",D
"Vitória","Corinthians",D
"Flamengo","Paraná",D
"Goiás","Bahia",V
"AtléticoMG","Vasco",V
"Juventude","Fortaleza",E
"Criciúma","Cruzeiro",D
"Guarani","Coritiba",V
"Cruzeiro","Flamengo",V
"Coritiba","Goiás",V
"Bahia","SãoPaulo",V
"Santos","Guarani",E
"PontePreta","AtléticoPR",E
"Fortaleza","Grêmio",E
"Vasco","Juventude",E
"Corinthians","SãoCaetano",D
"Fluminense","Vitória",V
"Paraná","Paysandu",V
"Figueirense","AtléticoMG",D
"Internacional","Criciúma",V
"SãoCaetano","Santos",E
"AtléticoPR","Coritiba",V
"Guarani","PontePreta",D
"Vitória","Bahia",V
"Flamengo","Vasco",V
"Goiás","Fluminense",V
"SãoPaulo","Corinthians",V
"AtléticoMG","Cruzeiro",D
"Internacional","Grêmio",D
"Juventude","Paraná",E
"Figueirense","Criciúma",V
"Paysandu","Fortaleza",V
"Coritiba","Bahia",V
"Grêmio","AtléticoMG",E
"Flamengo","Paysandu",V
"Goiás","SãoPaulo",V
"Guarani","Fluminense",V
"Corinthians","PontePreta",V
"Santos","AtléticoPR",V
"Paraná","Internacional",V
"Criciúma","Vasco",V
"Fortaleza","Figueirense",E
"Vitória","SãoCaetano",E
"Cruzeiro","Juventude",D
"SãoCaetano","Coritiba",V
"Figueirense","Flamengo",E
"Fluminense","Corinthians",V
"PontePreta","Goiás",D
"Bahia","Santos",D
"AtléticoPR","Vitória",D
"Internacional","Cruzeiro",V
"Paysandu","Criciúma",V
"AtléticoMG","Paraná",E
"Juventude","Grêmio",D
"Vasco","Fortaleza",E
"SãoPaulo","Guarani",E
"Bahia","Fluminense",E
"Cruzeiro","Figueirense",V
"Coritiba","Santos",D
"PontePreta","Vitória",E
"Paysandu","AtléticoMG",V
"Paraná","Vasco",E
"Flamengo","Grêmio",V
"Corinthians","AtléticoPR",D
"SãoCaetano","SãoPaulo",D
"Criciúma","Fortaleza",E
"Internacional","Juventude",E
"Goiás","Guarani",V
"Guarani","Bahia",V
"AtléticoPR","SãoCaetano",V
"Grêmio","Paraná",D
"Fluminense","PontePreta",E
"AtléticoMG","Criciúma",E
"SãoPaulo","Coritiba",V
"Fortaleza","Cruzeiro",D
"Vasco","Internacional",D
"Figueirense","Paysandu",V
"Vitória","Goiás",D
"Santos","Corinthians",V
"Juventude","Flamengo",E
"Paysandu","Vasco",D
"Juventude","Criciúma",V
"SãoPaulo","Fluminense",V
"Coritiba","Corinthians",V
"Santos","Vitória",V
"Cruzeiro","Grêmio",V
"Internacional","Fortaleza",E
"Paraná","Figueirense",E
"Guarani","SãoCaetano",D
"Bahia","PontePreta",V
"Goiás","AtléticoPR",V
"Flamengo","AtléticoMG",V
"Fluminense","Coritiba",V
"Criciúma","Paraná",D
"Grêmio","Paysandu",V
"PontePreta","Santos",D
"Vitória","Guarani",E
"Figueirense","Juventude",V
"Fortaleza","Flamengo",V
"Vasco","Cruzeiro",D
"Corinthians","Goiás",V
"AtléticoPR","SãoPaulo",V
"AtléticoMG","Internacional",D
"SãoCaetano","Bahia",V
"AtléticoMG","Fortaleza",V
"Coritiba","PontePreta",E
"Figueirense","Internacional",V
"Flamengo","Criciúma",V
"Grêmio","Vasco",V
"Santos","Fluminense",V
"SãoPaulo","Vitória",V
"Paraná","Cruzeiro",D
"SãoCaetano","Goiás",V
"Guarani","Corinthians",D
"Paysandu","Juventude",V
"Bahia","AtléticoPR",D
"Vasco","Figueirense",V
"Juventude","AtléticoMG",V
"Fluminense","SãoCaetano",V
"Internacional","Flamengo",V
"AtléticoPR","Guarani",V
"Cruzeiro","Paysandu",V
"Corinthians","Bahia",D
"Goiás","Santos",V
"PontePreta","SãoPaulo",D
"Fortaleza","Paraná",V
"Vitória","Coritiba",V
"Criciúma","Grêmio",D
"Vitória","AtléticoMG",D
"AtléticoPR","Vasco",E
"Goiás","Figueirense",D
"Corinthians","Paraná",E
"Cruzeiro","Fluminense",V
"Guarani","Paysandu",V
"Fortaleza","Coritiba",E
"Internacional","SãoPaulo",E
"Flamengo","PontePreta",E
"Criciúma","Bahia",V
"Santos","Grêmio",E
"Juventude","SãoCaetano",V
"AtléticoMG","Goiás",V
"Paraná","Vitória",V
"SãoCaetano","Internacional",V
"Coritiba","Criciúma",V
"Figueirense","Guarani",V
"SãoPaulo","Flamengo",D
"Vasco","Santos",E
"Fluminense","Juventude",V
"Grêmio","Corinthians",V
"Paysandu","AtléticoPR",E
"PontePreta","Fortaleza",V
"Bahia","Cruzeiro",D
"Botafogo","Goiás",D
"Figueirense","Internacional",V
"SãoCaetano","Vitória",V
"Cruzeiro","Juventude",V
"Palmeiras","AtléticoMG",E
"Grêmio","Flamengo",E
"PontePreta","Corinthians",V
"Paraná","Santos",V
"Coritiba","Guarani",V
"Vasco","Criciúma",D
"Paysandu","Fluminense",E
"SãoPaulo","AtléticoPR",V
"Flamengo","PontePreta",E
"Goiás","Cruzeiro",E
"Juventude","Grêmio",E
"Internacional","Palmeiras",V
"AtléticoMG","Vasco",E
"Fluminense","Coritiba",E
"Corinthians","Paysandu",V
"Guarani","SãoCaetano",E
"AtléticoPR","Figueirense",D
"Vitória","Paraná",V
"Criciúma","SãoPaulo",E
"Santos","Botafogo",V
"Botafogo","AtléticoMG",E
"Coritiba","Internacional",E
"Cruzeiro","Criciúma",E
"Paysandu","AtléticoPR",D
"PontePreta","Goiás",V
"Figueirense","Santos",V
"Grêmio","Corinthians",V
"SãoPaulo","Fluminense",V
"Vasco","Guarani",D
